tool_used,link,link,creation_date,Stars,Watchers,Forks,Releases,packages,Contributors,openIssues,closedIssues,OpenPullRequests,ClosedPullRequests,Commits,type
Spdx-Java-Library,https://github.com/spdx/spdx-maven-plugin,https://github.com/spdx/spdx-maven-plugin,2014-01-13T19:55:58Z,0,0,0,,0,555,0,0,0,0,"85,435",SPDX
spdx-maven-plugin,https://github.com/spdx/spdx-java-spreadsheet-store,https://github.com/spdx/spdx-java-spreadsheet-store,2020-05-12T03:20:45Z,0,0,0,,0,11,0,0,0,0,"1,206",SPDX
spdx-maven-plugin,https://github.com/spdx/spdx-java-rdf-store,https://github.com/spdx/spdx-java-rdf-store,2019-12-06T23:06:03Z,24,13,35,,0,35,3,34,1,138,770,SPDX
spdx-maven-plugin,https://github.com/spdx/spdx-java-jackson-store,https://github.com/spdx/spdx-java-jackson-store,2020-01-17T23:36:22Z,128,2,10,6,5,9,43,157,17,596,744,SPDX
tools-java,https://github.com/spdx/spdx-examples,https://github.com/spdx/spdx-examples,2020-07-17T22:49:19Z,1,1,0,,0,,0,0,0,0,3,SPDX
tools-python,https://github.com/spdx/ntia-conformance-checker,https://github.com/spdx/ntia-conformance-checker,2022-07-18T21:32:45Z,1,14,1,,0,2,3,0,0,8,18,SPDX
tools-golang,https://github.com/spdx/gordf,https://github.com/spdx/gordf,2020-08-19T15:52:57Z,2,5,3,2,0,3,0,0,1,21,459,SPDX
spdx-maven-plugin,https://github.com/spdx/cdx2spdx,https://github.com/spdx/cdx2spdx,2021-07-15T20:12:13Z,0,1,0,,0,,0,0,0,0,11,SPDX
bom,https://github.com/SovereignCloudStack/cluster-stack-operator,https://github.com/SovereignCloudStack/cluster-stack-operator,2023-05-22T07:28:41Z,110,18,75,23,0,19,25,111,3,166,"1,015",SPDX
swift-package-sbom,https://github.com/sonatype-nexus-community/cargo-pants,https://github.com/sonatype-nexus-community/search-maven-org,2018-02-22T22:42:35Z,1,3,2,13,0,3,1,6,0,19,81,SPDX
cyclonedx-cli,https://github.com/SonarSource/sonar-scanner-vsts,https://github.com/SonarSource/sonar-scanner-vsts,2017-04-12T09:19:42Z,142000,192,42000,323,1,1113,2612,4061,375,7055,"5,887",SPDX
cyclonedx-go,https://github.com/snyk/parlay,https://github.com/snyk/parlay,2023-04-19T07:39:38Z,13,2,3,57,,2,3,8,10,158,382,SPDX
cyclonedx-webpack-plugin,https://github.com/silk-framework/silk,https://github.com/silk-framework/silk,2014-02-13T15:28:36Z,0,1,0,,0,,0,0,0,0,"23,197",SPDX
cyclonedx-maven-plugin,https://github.com/siemens/continuous-clearing,https://github.com/siemens/continuous-clearing,2023-02-10T10:43:09Z,4,2,3,3,,4,6,3,0,43,222,SPDX
ko-build/ko,https://github.com/shipwright-io/build,https://github.com/shipwright-io/build,2020-02-06T03:14:59Z,1,2,3,1,0,5,0,0,0,3,47,SPDX
tools-python,https://github.com/sethmlarson/cpython-sbom,https://github.com/sethmlarson/cpython-sbom,2023-08-30T21:40:14Z,2,2,2,,2,4,4,2,6,48,109,SPDX
bom,https://github.com/sdbs-uni-p/json-schema-corpus,https://github.com/sdbs-uni-p/json-schema-corpus,2021-03-26T13:49:23Z,571,14,85,12,,35,21,194,3,1676,"1,948",SPDX
ko-build/ko,https://github.com/ScoopInstaller/Main,https://github.com/ScoopInstaller/Main,2019-01-31T07:05:24Z,867,31,270,29,0,95,54,283,12,770,"1,463",SPDX
build-info-go,https://github.com/SchemaStore/schemastore,https://github.com/SchemaStore/schemastore,2014-11-18T01:02:10Z,0,2,1,,0,,0,0,0,1,2,SPDX
cyclonedx-cli,https://github.com/scanoss/scanoss.py,https://github.com/scanoss/scanoss.py,2021-06-15T19:29:33Z,164000,194,977,,0,123,70,451,2,872,"1,574",SPDX
cyclonedx-maven-plugin,https://github.com/SAP/jenkins-library,https://github.com/SAP/jenkins-library,2017-10-17T20:14:48Z,4,1,2,43,0,6,7,29,4,1453,"1,980",SPDX
