link,type,tool_used,creation_date,language,contributors,openIssues,closedIssues,commits,openPRs,closedPRs,releases,forks,stars,watchers,LOC,size,PL_category,PL_typting
https://github.com/DefectDojo/django-DefectDojo,CycloneDX,cyclonedx-python-lib,2015-02-19T17:53:47Z,HTML,359,353,2634,12129,36,1510,234,1653,4015,208,"{""Python"": 7587073, ""HTML"": 11595687, ""JavaScript"": 2143783, ""Shell"": 44587, ""CSS"": 34948, ""Smarty"": 74759, ""Batchfile"": 2151, ""Mustache"": 5533}",237579.0,DSL,
https://github.com/zdharma-continuum/zinit,CycloneDX,ko-build/ko,2021-10-30T01:07:44Z,Shell,60,87,148,3871,18,75,9,141,3629,23,"{""Makefile"": 1853, ""Shell"": 539313, ""Dockerfile"": 1345}",12942.0,DSL,
https://github.com/e-m-b-a/emba,CycloneDX,cyclonedx-cli,2020-08-25T07:59:12Z,Shell,18,6,298,6211,3,55,22,259,2973,43,"{""Shell"": 2012608, ""Dockerfile"": 467, ""CSS"": 6636, ""HTML"": 9560}",22399.0,DSL,
https://github.com/guacsec/guac,CycloneDX,cyclonedx-python-lib,2022-06-10T17:28:07Z,Go,62,129,381,1994,5,221,42,186,1356,43,"{""Go"": 4670395, ""Nix"": 273, ""Makefile"": 12731, ""Starlark"": 594, ""Shell"": 7050, ""Dockerfile"": 334}",15707.0,GPL,static
https://github.com/tern-tools/tern,CycloneDX,pip-audit,2017-11-27T23:32:17Z,Python,59,55,474,1102,4,147,23,188,984,31,"{""Python"": 477047, ""Shell"": 2901, ""Dockerfile"": 2073}",6930.0,GPL,dynamic
https://github.com/XmirrorSecurity/OpenSCA-cli,CycloneDX,cyclonedx-go,2021-12-30T04:44:37Z,Go,9,1,39,1009,0,10,21,120,1070,107,"{""Go"": 342085, ""Python"": 10988, ""Makefile"": 130, ""Dockerfile"": 527, ""Shell"": 4611, ""PowerShell"": 3462}",9124.0,GPL,static
https://github.com/medplum/medplum,CycloneDX,cyclonedx-node-npm,2021-04-21T16:36:22Z,TypeScript,117,448,1502,4542,40,288,205,474,1595,20,"{""TypeScript"": 9954328, ""JavaScript"": 34090, ""CSS"": 32290, ""Shell"": 52196, ""Dockerfile"": 2861, ""Python"": 2945, ""MDX"": 1215356, ""HTML"": 1856, ""NSIS"": 11082, ""HCL"": 54759}",239238.0,GPL,both
https://github.com/freebsd/freebsd-ports,CycloneDX,cyclonedx-python-lib,2011-05-26T11:15:35Z,Makefile,267,0,0,705546,41,339,0,788,1039,109,"{""Makefile"": 35674723, ""C++"": 14295138, ""Shell"": 3733680, ""C"": 13451277, ""Python"": 1285139, ""M4"": 221939, ""Rust"": 284882, ""HTML"": 67177, ""CMake"": 533233, ""TypeScript"": 213396}",2465843.0,DSL,
https://github.com/chainguard-dev/apko,CycloneDX,ko-build/ko,2022-02-08T17:04:37Z,Go,65,88,180,2497,33,218,86,156,1350,13,"{""Go"": 880329, ""Makefile"": 4836, ""Shell"": 5236}",7436.0,GPL,static
https://github.com/pypa/pip-audit,CycloneDX,cyclonedx-python-lib,2021-09-02T15:19:39Z,Python,33,52,224,727,4,27,61,67,1049,23,"{""Makefile"": 2333, ""Python"": 235970}",1124.0,GPL,dynamic
https://github.com/jreleaser/jreleaser,CycloneDX,cyclonedx-gradle-plugin,2020-11-28T14:33:15Z,Java,68,94,1082,2654,2,110,39,118,1114,14,"{""Java"": 5212238, ""Smarty"": 187639, ""Shell"": 58802, ""Groovy"": 1055305, ""Tcl"": 12113}",16289.0,GPL,static
https://github.com/apache/camel-k,CycloneDX,cyclonedx-gomod,2018-08-31T08:38:42Z,Go,128,59,2208,7373,7,397,105,356,878,51,"{""Makefile"": 31379, ""Shell"": 82663, ""Go"": 3849542, ""Dockerfile"": 2232, ""Java"": 40684, ""Groovy"": 1911, ""Mustache"": 1706, ""Smarty"": 2026}",111180.0,GPL,static
https://github.com/SAP/jenkins-library,CycloneDX,cyclonedx-maven-plugin,2017-10-17T20:14:48Z,Go,196,8,1035,5064,51,812,456,600,794,38,"{""Groovy"": 1712849, ""Shell"": 1903, ""Dockerfile"": 933, ""HTML"": 1448, ""CSS"": 953, ""Python"": 970, ""Scala"": 1554, ""Go"": 5488565}",27296.0,GPL,static
https://github.com/aquasecurity/trivy-operator,CycloneDX,cyclonedx-go,2022-05-08T06:31:32Z,Go,132,98,629,1404,13,281,121,229,1501,10,"{""Dockerfile"": 301, ""Go"": 1319003, ""Smarty"": 2349, ""Shell"": 3633}",42212.0,GPL,static
https://github.com/aquasecurity/chain-bench,CycloneDX,gh-dotnet-generate-sbom,2022-05-12T09:08:00Z,Go,15,17,29,69,3,4,14,64,747,12,"{""Go"": 224573, ""Open Policy Agent"": 28802, ""Makefile"": 960, ""Dockerfile"": 356, ""Smarty"": 1610}",6024.0,GPL,static
https://github.com/tektoncd/catalog,CycloneDX,ko-build/ko,2019-04-25T19:54:27Z,Shell,197,46,272,1141,12,219,0,593,682,18,"{""Dockerfile"": 6131, ""Go"": 694, ""Shell"": 74397, ""JavaScript"": 52, ""Python"": 8940}",9814.0,DSL,
https://github.com/nix-community/poetry2nix,CycloneDX,cyclonedx-python,2019-06-17T15:26:38Z,Nix,309,170,322,3486,11,191,341,457,924,9,"{""Nix"": 295926, ""Python"": 21673, ""Makefile"": 133, ""Shell"": 6301, ""jq"": 814}",6087.0,DSL,
