tool_used,link,creation_date,,stars,watchers,forks,releases,packages,contributors,openIssues,closedIssues,openPRs,closedPRs,commits,type
protobom,https://github.com/bom-squad/sbom-convert,2023-07-06T21:27:27Z,,8,5,5,2,1,4,5,2,2,5,29,SPDX
cyclonedx-python-lib,https://github.com/bridgecrewio/checkov,2019-11-27T08:55:14Z,,59000,58,956,1742,2,322,111,1375,33,4065,"14,980",CycloneDX
ko-build/ko,https://github.com/buildkite/agent-stack-k8s,2022-09-30T15:29:28Z,,58,12,15,10,2,12,14,24,0,163,599,CycloneDX
cyclonedx-go,https://github.com/buildpacks/libcnb,2020-02-25T20:02:59Z,,24,10,12,18,0,19,6,24,2,225,301,CycloneDX
cyclonedx-go,https://github.com/carbonetes/diggity,2023-01-06T13:55:57Z,,87,12,6,17,0,8,0,1,10,102,376,CycloneDX
cyclonedx-go,https://github.com/carbonetes/jacked,2023-01-06T13:56:49Z,,93,10,4,12,0,7,0,0,7,101,368,CycloneDX
cyclonedx-python,https://github.com/carstencodes/pdm-bump,2021-09-11T19:27:18Z,,22,1,4,21,0,5,0,12,0,158,506,CycloneDX
cyclonedx-python,https://github.com/cedricbonhomme/freshermeat,2017-10-01T21:07:36Z,,15,3,2,9,,3,0,19,0,19,746,CycloneDX
cyclonedx-python,https://github.com/cedricbonhomme/newspipe,2013-12-02T20:24:52Z,,366,14,40,15,,6,0,12,0,12,"3,124",CycloneDX
cyclonedx-python,https://github.com/cedricbonhomme/pyEnigma,2017-03-15T09:05:15Z,,57,6,15,4,0,3,0,1,0,1,109,CycloneDX
ko-build/ko,https://github.com/cert-manager/cert-manager,2017-05-24T16:25:59Z,,107000,147,19000,170,0,404,158,2942,50,3013,"8,047",CycloneDX
bom,https://github.com/CERTCC/SBOM,2020-06-01T17:08:22Z,,47,12,14,,0,2,4,10,0,2,46,SPDX
tools-java,https://github.com/chainguard-dev/actions,2022-02-21T17:03:15Z,,81,4,41,,0,29,12,12,11,294,257,SPDX
