tool_used,link,creation_date,,stars,watchers,forks,releases,packages,contributors,openIssues,closedIssues,openPRs,closedPRs,commits,type
ort,https://github.com/porscheofficial/cookie-consent-banner,2021-09-14T14:12:42Z,,69,4,6,13,,4,3,14,0,8,120,SPDX
ort,https://github.com/porscheofficial/porscheofficial.github.io,2023-05-10T08:20:43Z,,6,5,3,,,4,3,1,3,15,208,SPDX
ort,https://github.com/privacy-tech-lab/privacy-pioneer-machine-learning,2022-02-05T15:17:30Z,,5,9,1,,0,2,1,9,0,6,31,SPDX
tools-golang,https://github.com/project-stacker/stacker-bom,2023-02-09T19:02:46Z,,0,2,1,5,0,,0,0,5,45,22,SPDX
bom,https://github.com/Prow-Cluster-Bot/prow-config,2023-04-07T09:39:23Z,,0,0,0,,0,,0,0,0,0,15,SPDX
bom,https://github.com/puerco/release-actions,2023-12-02T20:32:00Z,,4,3,0,,0,3,0,0,0,43,90,SPDX
bom,https://github.com/puerco/supply-chain-demo,2022-03-08T07:37:36Z,,3,3,0,,1,2,0,0,0,0,21,SPDX
tools-golang,https://github.com/purpleidea/yesiscan,2021-05-05T16:08:26Z,,7,3,1,,,,0,0,0,0,148,SPDX
cyclonedx-cli,https://github.com/puzzle/cryptopus,2008-07-11T14:40:10Z,,58,6,34,6,0,41,26,263,17,440,"2,288",CycloneDX
cyclonedx-cli,https://github.com/puzzle/skills,2018-02-27T16:13:22Z,,38,5,15,1,0,29,57,155,2,335,"1,570",CycloneDX
cyclonedx-python-lib,https://github.com/pypa/pip-audit,2021-09-02T15:19:39Z,,835,23,59,53,,25,50,200,3,426,525,CycloneDX
cyclonedx-python-lib,https://github.com/pypi-data/pypi-json-data,2022-07-21T12:56:42Z,,37,4,11,1,0,3,1,5,0,6,628,CycloneDX
tools-golang,https://github.com/QMSTR/qmstr,2018-01-19T09:50:33Z,,31,1,1,,0,11,58,123,2,365,"1,219",SPDX
cyclonedx-php-composer,https://github.com/Quobis/action-owasp-dependecy-track-check,2021-05-15T17:32:57Z,,16,6,13,4,0,3,5,3,0,4,49,CycloneDX
bom,https://github.com/rancher/elemental-operator,2022-05-25T10:23:32Z,,24,11,14,34,,16,28,181,3,317,664,SPDX
build-info-go,https://github.com/remcohaszing/vscode-schemastore,2022-07-30T11:44:17Z,,16,3,0,1,,3,0,1,0,1,128,CycloneDX
bom,https://github.com/RetireJS/retire.js,2013-08-30T21:43:44Z,,34000,87,430,11,0,95,2,230,0,186,844,SPDX
tools-golang,https://github.com/riehlegroup/product-model-toolkit,2020-02-19T16:15:59Z,,4,4,4,,3,3,1,4,1,41,286,SPDX
cyclonedx-maven-plugin,https://github.com/rmkanda/secure-pipeline-java-demo,2020-05-28T10:31:01Z,,35,4,33,,0,2,0,0,0,2,45,CycloneDX
bom,https://github.com/RobertKielty/hook-plugin-docker-action,2022-07-24T19:46:09Z,,1,3,0,,0,3,0,0,0,0,24,SPDX
bom,https://github.com/robertwb/beam-javascript,2022-01-04T00:51:30Z,,7,6,7,,0,901,0,0,0,16,"35,634",SPDX
sbom-tool,https://github.com/rod4n4m1/hashi-vault-js,2020-07-01T17:56:03Z,,37,8,9,4,0,8,6,22,0,16,153,SPDX
bom,https://github.com/rohankumardubey/beam,2021-09-21T06:14:15Z,,1,1,0,,0,817,0,0,0,0,"32,994",SPDX
cyclonedx-go,https://github.com/safedep/vet,2022-12-30T03:39:03Z,,87,3,13,12,1,7,22,19,8,70,195,CycloneDX
tools-golang,https://github.com/sajayantony/obom_cli,2023-05-10T19:02:20Z,,10,1,5,1,,3,1,1,1,2,24,SPDX
ko-build/ko,https://github.com/salaboy/platforms-on-k8s,2023-05-09T07:48:19Z,,42,4,19,,0,10,5,2,3,39,331,CycloneDX
cyclonedx-gradle-plugin,https://github.com/samrocketman/jervis,2014-11-22T04:58:13Z,,267,23,45,11,,,22,126,0,15,"1,760",CycloneDX
bom,https://github.com/samuelmoss572/dataflowworkshop,2019-08-07T15:07:50Z,,0,2,0,,0,469,0,0,11,13,"22,614",SPDX
cyclonedx-maven-plugin,https://github.com/SAP/jenkins-library,2017-10-17T20:14:48Z,,741,40,569,328,,182,20,917,34,3624,"4,652",CycloneDX
cyclonedx-cli,https://github.com/scanoss/scanoss.py,2021-06-15T19:29:33Z,,21,3,16,32,1,5,1,15,0,10,218,CycloneDX
build-info-go,https://github.com/SchemaStore/schemastore,2014-11-18T01:02:10Z,,25000,34,14000,,0,1183,51,400,12,2789,"3,072",CycloneDX
sbom-tool,https://github.com/ScoopInstaller/Extras,2013-08-06T03:27:50Z,,16000,38,12000,,,941,390,5377,173,5907,"49,574",SPDX
ko-build/ko,https://github.com/ScoopInstaller/Main,2019-01-31T07:05:24Z,,12000,33,800,,,678,36,2426,13,2581,"43,522",CycloneDX
bom,https://github.com/sdbs-uni-p/json-schema-corpus,2021-03-26T13:49:23Z,,2,1,1,1,0,2,2,0,0,0,2,SPDX
cyclonedx-python,https://github.com/ServiceNow/PySNC,2020-07-16T16:22:30Z,,65,6,23,11,0,3,8,29,0,31,116,CycloneDX
tools-python,https://github.com/sethmlarson/cpython-sbom,2023-08-30T21:40:14Z,,0,1,0,,,,1,0,0,0,3,SPDX
cyclonedx-python,https://github.com/sfermigier/tentakel,2011-12-14T11:17:07Z,,20,5,10,,0,,0,1,2,0,70,CycloneDX
ko-build/ko,https://github.com/shipwright-io/build,2020-02-06T03:14:59Z,,534,15,92,14,16,39,117,318,9,940,"1,746",CycloneDX
cyclonedx-maven-plugin,https://github.com/siemens/continuous-clearing,2023-02-10T10:43:09Z,,13,6,5,6,2,10,1,5,1,85,473,CycloneDX
cyclonedx-webpack-plugin,https://github.com/silk-framework/silk,2014-02-13T15:28:36Z,,221,30,63,13,0,31,38,60,19,597,"14,797",CycloneDX
sbom-cli,https://github.com/snyk/cli,2015-10-30T11:36:00Z,,46000,165,578,1667,,219,101,442,86,4215,"6,437",CycloneDX
cyclonedx-go,https://github.com/snyk/parlay,2023-04-19T07:39:38Z,,74,13,12,7,,6,11,7,2,24,114,CycloneDX
cyclonedx-cli,https://github.com/SonarSource/sonar-scanner-vsts,2017-04-12T09:19:42Z,,85,27,120,121,0,40,18,273,18,273,488,CycloneDX
swift-package-sbom,https://github.com/sonatype-nexus-community/cargo-pants,2019-03-13T20:00:31Z,,26,9,8,9,0,10,7,27,2,34,192,CycloneDX
cyclonedx-python,https://github.com/sonatype-nexus-community/jake,2019-10-10T20:05:24Z,,89,8,26,22,,16,20,48,3,71,509,CycloneDX
cyclonedx-maven-plugin,https://github.com/sonatype-nexus-community/search-maven-org,2018-02-22T22:42:35Z,,479,36,165,,0,22,40,92,19,27,215,CycloneDX
bom,https://github.com/SovereignCloudStack/cluster-stack-operator,2023-05-22T07:28:41Z,,3,5,0,,3,3,1,0,0,6,6,SPDX
spdx-maven-plugin,https://github.com/spdx/cdx2spdx,2021-07-15T20:12:13Z,,20,4,7,5,0,3,3,11,0,20,74,SPDX
tools-golang,https://github.com/spdx/gordf,2020-08-19T15:52:57Z,,10,8,5,,0,3,0,5,0,3,68,SPDX
tools-python,https://github.com/spdx/ntia-conformance-checker,2022-07-18T21:32:45Z,,36,10,10,9,0,11,2,75,0,80,283,SPDX
tools-java,https://github.com/spdx/spdx-examples,2020-07-17T22:49:19Z,,92,11,41,,0,9,9,23,0,38,81,SPDX
spdx-maven-plugin,https://github.com/spdx/spdx-gradle-plugin,2023-04-05T19:48:05Z,,4,7,5,,0,7,9,4,2,30,99,SPDX
spdx-maven-plugin,https://github.com/spdx/spdx-java-jackson-store,2020-01-17T23:36:22Z,,4,3,5,15,0,3,4,20,1,36,137,SPDX
spdx-maven-plugin,https://github.com/spdx/spdx-java-rdf-store,2019-12-06T23:06:03Z,,2,3,2,16,0,2,2,12,1,36,148,SPDX
spdx-maven-plugin,https://github.com/spdx/spdx-java-spreadsheet-store,2020-05-12T03:20:45Z,,1,3,2,13,0,3,1,6,0,19,81,SPDX
Spdx-Java-Library,https://github.com/spdx/spdx-maven-plugin,2014-01-13T19:55:58Z,,31,5,21,14,0,15,7,33,0,90,223,SPDX
tools-java,https://github.com/spdx/spdx-online-tools,2017-05-22T23:58:36Z,,52,14,59,4,0,29,43,186,14,251,"1,170",SPDX
Spdx-Java-Library,https://github.com/spdx/spdx-testbed,2022-09-08T14:28:31Z,,0,8,1,,0,4,16,11,0,30,130,SPDX
tools-java,https://github.com/spdx/spdx-to-osv,2021-09-29T18:40:04Z,,47,5,9,5,0,3,3,9,0,17,57,SPDX
spdx-maven-plugin,https://github.com/spdx/tools,2015-03-23T21:46:19Z,,110,18,75,23,0,19,25,111,3,166,"1,015",SPDX
Spdx-Java-Library,https://github.com/spdx/tools-golang,2019-01-10T21:31:26Z,,91,12,51,10,0,19,27,69,2,126,456,SPDX
Spdx-Java-Library,https://github.com/spdx/tools-java,2020-01-06T18:02:19Z,,43,6,31,16,0,11,10,50,2,62,215,SPDX
bom,https://github.com/spidernet-io/egressgateway,2022-10-24T07:14:58Z,,128,2,10,6,5,9,43,157,17,596,744,SPDX
bom,https://github.com/spidernet-io/rocktemplate,2022-10-12T13:24:15Z,,0,1,1,3,6,3,5,44,9,267,542,SPDX
bom,https://github.com/spidernet-io/spiderdoctor,2022-11-11T03:27:17Z,,14,2,3,11,4,4,25,45,9,344,553,SPDX
bom,https://github.com/spidernet-io/spiderpool,2022-03-07T03:45:43Z,,373,5,55,41,5,29,52,534,13,1765,"2,649",SPDX
build-info-go,https://github.com/sublimelsp/LSP-json,2019-03-10T23:45:34Z,,54,6,12,60,,14,6,31,1,124,169,CycloneDX
cyclonedx-python,https://github.com/supakeen/pinnwand,2019-02-20T16:52:16Z,,143,8,36,16,1,18,42,81,3,52,601,CycloneDX
tools-golang,https://github.com/swinslow/cncf-exceptions-maker,2019-11-01T17:16:44Z,,0,2,0,,0,,1,0,0,0,2,SPDX
tools-golang,https://github.com/swinslow/kernel-spdx-ids,2018-12-12T23:07:34Z,,3,2,1,,0,,2,0,0,2,6,SPDX
tools-golang,https://github.com/swinslow/npm-spdx,2019-11-18T15:01:12Z,,11,3,3,,0,,2,3,20,9,8,SPDX
tools-golang,https://github.com/swinslow/peridot-agents,2019-01-26T15:29:48Z,,0,2,0,,0,,0,0,0,0,11,SPDX
tools-golang,https://github.com/swinslow/spdx-oin,2018-12-09T23:15:32Z,,1,3,0,,0,,0,0,0,1,10,SPDX
syft,https://github.com/synapsecns/sanguine,2022-05-24T08:16:06Z,,17,7,5,1396,11,14,27,39,22,1317,"1,271",SPDX
bom,https://github.com/syself/cluster-api-provider-hetzner,2021-08-25T11:32:07Z,,393,8,37,,3,20,24,90,26,774,"1,346",SPDX
bom,https://github.com/syspack/pakages,2022-05-13T23:45:30Z,,2,2,0,4,7,,0,2,0,21,45,SPDX
cyclonedx-go,https://github.com/tap8stry/orion,2021-11-09T14:14:29Z,,19,1,2,,0,2,4,0,1,13,48,CycloneDX
ko-build/ko,https://github.com/tektoncd/catalog,2019-04-25T19:54:27Z,,609,18,542,,0,180,20,261,13,891,"1,058",CycloneDX
tools-python,https://github.com/tenzir/tenzir,2010-09-23T01:19:19Z,,535,35,76,112,4,35,15,3317,15,3317,"18,188",SPDX
pip-audit,https://github.com/tern-tools/tern,2017-11-27T23:32:17Z,,892,30,187,23,0,65,49,473,2,707,"1,101",CycloneDX
ko-build/ko,https://github.com/tilt-dev/ctlptl,2020-10-16T18:30:00Z,,425,8,33,54,0,22,10,65,1,238,271,CycloneDX
ort,https://github.com/todogroup/ospolandscape,2021-02-17T17:04:51Z,,24,13,35,,0,35,3,34,1,138,770,SPDX
sbom-tool,https://github.com/togglz/togglz,2011-12-21T16:49:03Z,,867,31,270,29,0,95,54,283,12,770,"1,463",SPDX
cyclonedx-cli,https://github.com/trustification/trustification,2023-05-03T16:03:26Z,,14,9,19,,5,14,25,111,2,444,"1,138",CycloneDX
tools-golang,https://github.com/uncefact/project-vckit,2022-09-02T22:01:41Z,,4,7,6,,0,8,1,81,0,73,156,SPDX
spdx-maven-plugin,https://github.com/uOttawa-Nanda-Lab/Flakify,2022-01-05T20:36:28Z,,4,2,6,,0,2,0,1,0,0,3,SPDX
cyclonedx-dotnet,https://github.com/up-for-grabs/up-for-grabs.net,2013-11-20T22:44:13Z,,48000,162,21000,,,1043,36,185,8,3890,"5,079",CycloneDX
bom,https://github.com/uservers/miniprow,2021-03-31T19:57:40Z,,2,2,2,,2,4,4,2,6,48,109,SPDX
cyclonedx-maven-plugin,https://github.com/vaadin/platform,2017-05-19T16:34:14Z,,474,55,75,656,0,50,75,414,1,3854,"1,681",CycloneDX
sbom-tool,https://github.com/verifiedcoder/Twilight,2020-08-25T23:39:32Z,,17,3,0,,0,,0,0,0,18,53,SPDX
ort,https://github.com/vinland-technology/compliance-tool-collection,2021-05-02T21:59:04Z,,8,2,4,,0,,0,20,0,10,126,SPDX
tools-golang,https://github.com/vmware-samples/sbom-composer,2022-07-20T13:22:52Z,,21,2,3,1,0,5,8,3,2,2,42,SPDX
cyclonedx-gomod,https://github.com/volution/kawipiko,2018-11-09T16:05:54Z,,366,7,9,,,,2,3,0,1,396,CycloneDX
cyclonedx-gomod,https://github.com/volution/z-run,2019-08-04T15:58:09Z,,33,5,3,7,,,14,22,0,0,657,CycloneDX
cyclonedx-gomod,https://github.com/volution/z-scratchpad,2021-08-05T19:06:27Z,,21,4,2,4,,,1,4,0,0,343,CycloneDX
tools-python,https://github.com/vu-ls/advise,2023-03-07T15:34:26Z,,7,2,0,4,0,3,1,0,0,0,55,SPDX
tools-golang,https://github.com/w3c-ccg/traceability-vocab,2020-10-13T16:30:53Z,,30,29,32,,0,26,60,236,0,581,"2,813",SPDX
sbom-tool,https://github.com/wabbit-networks/net-monitor,2021-03-02T18:38:13Z,,4,1,12,,0,5,0,0,2,4,88,SPDX
sbom-tool,https://github.com/wang-song/scoopMain,2022-09-28T12:53:01Z,,1,2,1,,0,,0,0,0,0,"18,657",SPDX
cyclonedx-python,https://github.com/WarnerMedia/artemis,2022-07-14T16:43:28Z,,22,5,4,,0,6,0,0,0,62,69,CycloneDX
tools-python,https://github.com/williamfzc/sbom-rule-diff,2023-08-27T13:22:06Z,,0,1,0,,0,,0,0,0,0,2,SPDX
ort,https://github.com/wings-software/payment-service,2021-08-18T18:55:11Z,,3,2,25,,0,7,0,0,0,687,812,SPDX
ort,https://github.com/wings-software/platform-demo2,2021-07-26T22:24:10Z,,3,3,44,,0,3,0,0,604,67,26,SPDX
ko-build/ko,https://github.com/wolfi-dev/os,2022-09-07T19:46:09Z,,500,10,93,,0,64,64,462,58,5347,"10,865",CycloneDX
cyclonedx-maven-plugin,https://github.com/wso2/security-tools,2015-11-23T04:43:14Z,,46,14,31,,0,18,18,13,8,141,598,CycloneDX
gh-dotnet-generate-sbom,https://github.com/wulfland/AccelerateDevOps,2021-07-07T08:01:50Z,,29,4,55,12,2,7,48,40,15,763,414,CycloneDX
ko-build/ko,https://github.com/X-lab2017/open-digger,2020-08-18T11:03:58Z,,252,19,76,2,,39,20,488,2,872,775,CycloneDX
cyclonedx-go,https://github.com/xeol-io/xeol,2022-12-23T17:52:15Z,,216,4,9,36,0,7,8,13,2,160,168,CycloneDX
build-info-go,https://github.com/xhcoding/.emacs.d,2023-01-20T15:53:05Z,,13,1,2,,0,,0,0,0,0,51,CycloneDX
bom,https://github.com/xjtucoderesearch/UsabilityTest,2022-04-16T14:57:17Z,,0,1,1,,0,2,0,0,0,0,71,SPDX
cyclonedx-go,https://github.com/XmirrorSecurity/OpenSCA-cli,2021-12-30T04:44:37Z,,890,152,284,13,,6,7,22,0,48,307,CycloneDX
bom,https://github.com/xsm110/Beam15.0,2019-08-26T09:56:51Z,,0,1,0,,0,475,0,0,12,13,"22,855",SPDX
cyclonedx-go,https://github.com/yaklang/yaklang,2023-04-29T05:21:07Z,,276,8,31,43,0,15,1,8,11,477,"1,906",CycloneDX
spdx-maven-plugin,https://github.com/yevster/spdx-edit,2015-07-01T07:04:46Z,,3,3,3,4,0,3,2,6,5,20,111,SPDX
bom,https://github.com/yirutang/insert-id,2019-12-12T01:08:50Z,,2,2,0,,0,535,0,0,10,14,"24,635",SPDX
cyclonedx-maven-plugin,https://github.com/Yong-An-Dang/nuclei-plus,2022-09-28T01:59:16Z,,71,0,5,1,,,8,5,0,0,76,CycloneDX
sbom-tool,https://github.com/yuuki1967/https-gintro-to-dotnet-web-dev,2023-07-04T13:35:53Z,,0,1,0,,0,11,0,0,0,0,105,SPDX
cyclonedx-gomod,https://github.com/zabbix/zabbix,2014-02-27T15:36:03Z,,33000,125,881,,0,26,68,42,68,42,"83,819",CycloneDX
cyclonedx-python,https://github.com/zama-ai/concrete-numpy,2021-09-06T07:59:31Z,,216,3,21,15,0,13,4,10,5,103,"1,106",CycloneDX
ko-build/ko,https://github.com/zdharma-continuum/zinit,2021-10-30T01:07:44Z,,2000,18,120,5,1,58,60,134,22,309,"3,814",CycloneDX
bom,https://github.com/Zolko-123/FreeCAD_Assembly4,2019-03-10T11:58:17Z,,230,12,68,10,0,29,6,186,2,257,909,SPDX
spdx-maven-plugin,https://github.com/zvr/hub-spdx,2018-04-24T17:17:46Z,,0,2,0,,0,,0,0,0,0,132,SPDX
