link,type
https://github.com/cri-o/cri-o,SPDX
https://github.com/kubernetes/test-infra,SPDX
https://github.com/RetireJS/retire.js,SPDX
https://github.com/helm/chartmuseum,SPDX
https://github.com/cilium/tetragon,SPDX
https://github.com/microsoft/promptflow,SPDX
https://github.com/argoproj/argo-rollouts,SPDX
https://github.com/argoproj/argo-events,SPDX
https://github.com/nexB/scancode-toolkit,SPDX
https://github.com/mpromonet/v4l2rtspserver,SPDX
https://github.com/ScoopInstaller/Extras,SPDX
https://github.com/chaos-mesh/chaos-mesh,SPDX
https://github.com/togglz/togglz,SPDX
https://github.com/fossology/fossology,SPDX
https://github.com/kubernetes-sigs/security-profiles-operator,SPDX
https://github.com/tenzir/tenzir,SPDX
https://github.com/numaproj/numaflow,SPDX
https://github.com/owasp-dep-scan/dep-scan,SPDX
https://github.com/aosp-mirror/platform_build,SPDX
https://github.com/lf-edge/eve,SPDX
https://github.com/syself/cluster-api-provider-hetzner,SPDX
https://github.com/spidernet-io/spiderpool,SPDX
https://github.com/opensbom-generator/spdx-sbom-generator,SPDX
https://github.com/kkzzhizhou/scoop-apps,SPDX
https://github.com/chainguard-dev/melange,SPDX
https://github.com/kubernetes-sigs/bom,SPDX
https://github.com/Zolko-123/FreeCAD_Assembly4,SPDX
https://github.com/deislabs/ratify,SPDX
https://github.com/evereux/pycatia,SPDX
https://github.com/kdoctor-io/kdoctor,SPDX
https://github.com/containerbuildsystem/atomic-reactor,SPDX
https://github.com/spidernet-io/egressgateway,SPDX
https://github.com/kubewarden/policy-server,SPDX
https://github.com/aws-containers/retail-store-sample-app,SPDX
https://github.com/spdx/tools,SPDX
https://github.com/eclipse-sw360/sw360,SPDX
https://github.com/cilium/proxy,SPDX
https://github.com/in-toto/in-toto-golang,SPDX
https://github.com/spdx/spdx-examples,SPDX
https://github.com/spdx/tools-golang,SPDX
https://github.com/nix-community/nur-combined,SPDX
https://github.com/johniwasz/whetstone.chatgpt,SPDX
https://github.com/nexB/scancode.io,SPDX
https://github.com/chainguard-dev/actions,SPDX
https://github.com/Azure/azure-functions-dapr-extension,SPDX
https://github.com/porscheofficial/cookie-consent-banner,SPDX
https://github.com/DefectDojo/sample-scan-files,SPDX
https://github.com/dmitmel/dotfiles,SPDX
https://github.com/a0x8o/kafka,SPDX
https://github.com/CycloneDX/cyclonedx-core-java,SPDX
https://github.com/spdx/spdx-online-tools,SPDX
https://github.com/kbob/LED-Cube,SPDX
https://github.com/opossum-tool/OpossumUI,SPDX
https://github.com/LLNL/llnl.github.io,SPDX
https://github.com/CERTCC/SBOM,SPDX
https://github.com/spdx/spdx-to-osv,SPDX
https://github.com/johnterickson/cargo2junit,SPDX
https://github.com/spdx/tools-java,SPDX
https://github.com/CycloneDX/cyclonedx-linux-generator,SPDX
https://github.com/rod4n4m1/hashi-vault-js,SPDX
https://github.com/spdx/ntia-conformance-checker,SPDX
https://github.com/IBM/CBOM,SPDX
https://github.com/opfab/operatorfabric-core,SPDX
https://github.com/spdx/spdx-maven-plugin,SPDX
https://github.com/QMSTR/qmstr,SPDX
https://github.com/w3c-ccg/traceability-vocab,SPDX
https://github.com/maxhbr/myconfig,SPDX
https://github.com/Open-Source-Compliance/package-analysis,SPDX
https://github.com/anchore/grype-db,SPDX
https://github.com/octodemo/sbom-dependency-submission,SPDX
https://github.com/Enchoseon/2based2wait,SPDX
https://github.com/elastic/cloudbeat,SPDX
https://github.com/rancher/elemental-operator,SPDX
https://github.com/todogroup/ospolandscape,SPDX
https://github.com/vmware-samples/sbom-composer,SPDX
https://github.com/spdx/cdx2spdx,SPDX
https://github.com/LArkema/dctransistor-project,SPDX
https://github.com/verifiedcoder/Twilight,SPDX
https://github.com/devonfw/solicitor,SPDX
https://github.com/synapsecns/sanguine,SPDX
https://github.com/iinnovations/iicontrollibs,SPDX
https://github.com/docker/go-imageinspect,SPDX
https://github.com/nexB/python-inspector,SPDX
https://github.com/spidernet-io/spiderdoctor,SPDX
https://github.com/mchmarny/disco,SPDX
https://github.com/eclipse-leda/leda,SPDX
https://github.com/dokc/operator-feature-matrix,SPDX
https://github.com/lfit/releng-global-jjb,SPDX
https://github.com/philips-software/spdx-builder,SPDX
https://github.com/swinslow/npm-spdx,SPDX
https://github.com/digitaltwinconsortium/DTDLParser,SPDX
https://github.com/spdx/gordf,SPDX
https://github.com/sajayantony/obom_cli,SPDX
https://github.com/apache/solr-site,SPDX
https://github.com/a0x8o/beam,SPDX
https://github.com/BabelZilla/WTS,SPDX
https://github.com/oasis-open/openc2-jadn-software,SPDX
https://github.com/bom-squad/sbom-convert,SPDX
https://github.com/chamilad/kibana-prometheus-exporter,SPDX
https://github.com/vinland-technology/compliance-tool-collection,SPDX
https://github.com/mil-oss/spdx-xsd,SPDX
https://github.com/philips-software/post-to-medium-action,SPDX
https://github.com/purpleidea/yesiscan,SPDX
https://github.com/vu-ls/advise,SPDX
https://github.com/robertwb/beam-javascript,SPDX
https://github.com/jasona7/ChatCVE,SPDX
https://github.com/porscheofficial/porscheofficial.github.io,SPDX
https://github.com/Ed-Fi-Exchange-OSS/Meadowlark,SPDX
https://github.com/bespoke-silicon-group/bsg_motherboards,SPDX
https://github.com/frazrepo/vimrc,SPDX
https://github.com/privacy-tech-lab/privacy-pioneer-machine-learning,SPDX
https://github.com/a0x8o/drill,SPDX
https://github.com/uncefact/project-vckit,SPDX
https://github.com/spdx/spdx-gradle-plugin,SPDX
https://github.com/wabbit-networks/net-monitor,SPDX
https://github.com/greenbone/actions,SPDX
https://github.com/Azure/obom,SPDX
https://github.com/cognitedata/opcua-extractor-net,SPDX
https://github.com/riehlegroup/product-model-toolkit,SPDX
https://github.com/dpvreony/whipstaff,SPDX
https://github.com/uOttawa-Nanda-Lab/Flakify,SPDX
https://github.com/spdx/spdx-java-jackson-store,SPDX
https://github.com/puerco/release-actions,SPDX
https://github.com/eclipse-leda/leda-utils,SPDX
https://github.com/emzeat/mz-cmaketools,SPDX
https://github.com/kubewarden/github-actions,SPDX
https://github.com/jotterson/sbom-validator,SPDX
https://github.com/cpanato/kubepug-installer,SPDX
https://github.com/gnoliyil/fuchsia,SPDX
https://github.com/anderlli0053/AppArchive,SPDX
https://github.com/wings-software/payment-service,SPDX
https://github.com/swinslow/kernel-spdx-ids,SPDX
https://github.com/danf425/jhttp_isolated,SPDX
https://github.com/yevster/spdx-edit,SPDX
https://github.com/puerco/supply-chain-demo,SPDX
https://github.com/l2x6/cq-maven-plugin,SPDX
https://github.com/wings-software/platform-demo2,SPDX
https://github.com/Ed-Fi-Alliance-OSS/Ed-Fi-ODS-AdminApp,SPDX
https://github.com/SovereignCloudStack/cluster-stack-operator,SPDX
https://github.com/hivelocity/cluster-api-provider-hivelocity,SPDX
https://github.com/spdx/spdx-java-rdf-store,SPDX
https://github.com/sdbs-uni-p/json-schema-corpus,SPDX
https://github.com/LoremLabs/kudos-for-code-action,SPDX
https://github.com/porscheofficial/.github,SPDX
https://github.com/axenox/PackageManager,SPDX
https://github.com/uservers/miniprow,SPDX
https://github.com/opossum-tool/examples,SPDX
https://github.com/Ed-Fi-Alliance-OSS/Ed-Fi-AdminAPI,SPDX
https://github.com/nydusaccelerator/buildkit,SPDX
https://github.com/adriandiglio/Demo-for-Microsoft-SBOM-Tool,SPDX
https://github.com/orenmazor/eks-workshop,SPDX
https://github.com/syspack/pakages,SPDX
https://github.com/chintal/tendril,SPDX
https://github.com/earthly/buildkit,SPDX
https://github.com/alexethier/utilities,SPDX
https://github.com/mybeam/Apache-Beam-,SPDX
https://github.com/yirutang/insert-id,SPDX
https://github.com/a0x8o/presto,SPDX
https://github.com/a0x8o/druid,SPDX
https://github.com/linagora/Lincompliance,SPDX
https://github.com/Be-Secure/BeSLab,SPDX
https://github.com/karuppiah7890/tanzu-framework,SPDX
https://github.com/MaibornWolff/OSSLR,SPDX
https://github.com/Be-Secure/besecure-ce-env-repo,SPDX
https://github.com/aj-stein-nist/oscal-cat,SPDX
https://github.com/pezra/pretty-printer,SPDX
https://github.com/spdx/spdx-java-spreadsheet-store,SPDX
https://github.com/Ed-Fi-Alliance-OSS/Ed-Fi-API-Publisher,SPDX
https://github.com/gon1942/git_command,SPDX
https://github.com/eclipse-sw360/sw360.website.published,SPDX
https://github.com/wang-song/scoopMain,SPDX
https://github.com/diegopereiraeng/payments-validation,SPDX
https://github.com/chris-toenjes-deye/salus-spdx-to-osv,SPDX
https://github.com/leoluz/go-experiments,SPDX
https://github.com/alexander-dev-hub/apache-beam,SPDX
https://github.com/RobertKielty/hook-plugin-docker-action,SPDX
https://github.com/espv/beam-plus-wrapper,SPDX
https://github.com/rohankumardubey/beam,SPDX
https://github.com/opensbom-generator/sbom-composer,SPDX
https://github.com/anchore/go-logger,SPDX
https://github.com/evhart/counsel,SPDX
https://github.com/daemon1024/scratchpad-k8s-sig-resource,SPDX
https://github.com/swinslow/spdx-oin,SPDX
https://github.com/dims/k8s-code.appspot.com,SPDX
https://github.com/Pranshu021/ansible-role-bes-spdx-generator,SPDX
https://github.com/gon1942/how2github,SPDX
https://github.com/Micronaet/micronaet-sql,SPDX
https://github.com/OKiMaureen/test,SPDX
