Format,Tool,Repo,Stars,Watchers,Forks,Releases,Contributors,OpenIssues,ClosedIssues,OpenPullRequest,ClosedPullRequest,creation_date,age,Commits
CycloneDx,Github,CycloneDX/cyclonedx-maven-plugin,273,14,,48,13,,,13,306,2017-06-04T04:33:47Z,2538,703
SPDX,Github,CycloneDX/cyclonedx-maven-plugin,273,14,,48,13,,,13,306,2017-06-04T04:33:47Z,2538,703
CycloneDx,Github,CycloneDX/cyclonedx-node-module,122,8,,35,22,,,0,260,2017-06-04T04:34:48Z,2538,502
SPDX,Github,CycloneDX/cyclonedx-node-module,122,8,,35,22,,,0,260,2017-06-04T04:34:48Z,2538,502
CycloneDx,Github,CycloneDX/cyclonedx-node-npm,61,2,,46,,,,6,1084,2022-07-23T08:53:52Z,662,840
CycloneDx,Github,CycloneDX/cyclonedx-node-yarn,11,7,,0,,,,8,52,2022-06-25T06:08:00Z,690,69
CycloneDx,Github,CycloneDX/cyclonedx-nuget,2,2,,0,,,,0,0,2018-08-03T04:53:19Z,2112,19
SPDX,Github,CycloneDX/cyclonedx-nuget,2,2,,0,,,,0,0,2018-08-03T04:53:19Z,2112,19
CycloneDx,Github,CycloneDX/cyclonedx-php-composer,44,5,,44,7,,,0,400,2019-08-09T00:04:56Z,1742,613
SPDX,Github,CycloneDX/cyclonedx-php-composer,44,5,,44,7,,,0,400,2019-08-09T00:04:56Z,1742,613
CycloneDx,Github,CycloneDX/cyclonedx-php-library,6,5,,32,2,,,3,367,2021-09-12T10:00:04Z,976,568
SPDX,Github,CycloneDX/cyclonedx-php-library,6,5,,32,2,,,3,367,2021-09-12T10:00:04Z,976,568
CycloneDx,Github,CycloneDX/cyclonedx-property-taxonomy,12,10,,0,5,,,4,46,2021-09-03T03:45:07Z,986,130
CycloneDx,Github,CycloneDX/cyclonedx-python,211,14,,79,22,,,3,555,2018-11-15T05:53:33Z,2008,609
SPDX,Github,CycloneDX/cyclonedx-python,211,14,,79,22,,,3,555,2018-11-15T05:53:33Z,2008,609
CycloneDx,Github,CycloneDX/cyclonedx-python-lib,59,15,,88,13,,,4,459,2021-08-27T06:56:39Z,992,638
SPDX,Github,CycloneDX/cyclonedx-python-lib,59,15,,88,13,,,4,459,2021-08-27T06:56:39Z,992,638
CycloneDx,Github,CycloneDX/cyclonedx-ruby-gem,19,5,,0,7,,,9,13,2018-05-21T21:52:13Z,2186,102
SPDX,Github,CycloneDX/cyclonedx-ruby-gem,19,5,,0,7,,,9,13,2018-05-21T21:52:13Z,2186,102
