repo,spdx3_found,found_in,evidence
phadej/spdx,False,,
doubleopen-project/spdx-rs,False,,
ehuss/license-exprs,False,,
spdx/license-list-data,False,,
emzeat/mz-lictools,False,,
ItsNickBarry/hardhat-spdx-license-identifier,False,,
jslicense/spdx-license-ids,False,,
spdx/spdx-java-spreadsheet-store,False,,
xswordsx/spdx-to-react,False,,
clearlydefined/spdx,False,,
spdx/sbom-landscape,False,,
yevster/spdx-edit,False,,
swinslow/spdx-go,False,,
hesa/spdx-validator,False,,
morficus/license-ls,False,,
spdx/spdx-to-osv,False,,
ubinux/SW360tools,False,,
cloudflightio/spdx-catalog,False,,
spdx/spdx-license-matcher,False,,
enarx/spdx,False,,
spdx/license-coverage-grader,False,,
jslicense/spdx-expression-parse.js,False,,
shnitish/spdx-pdf-html-template,False,,
CycloneDX/cyclonedx-ruby-gem,False,,
ec-europa/spdx,False,,
joshdk/licensor,False,,
Eideticom/workflow-license-check,False,,
sambacha/spdx-runner,False,,
espressif/check-copyright,False,,
sindresorhus/spdx-license-list,False,,
condy0919/spdx.el,False,,
jslicense/npm-license-corrections.json,False,,
krysnuvadga/license-coverage-grader,False,,
SamuraiAku/SPDX.jl,False,,
spdx/spdx-github,False,,
tiaanduplessis/license-o-matic,False,,
jslicense/spdx-satisfies.js,False,,
spdx/governance,False,,
spdx/license-list,False,,
swinslow/npm-spdx,False,,
david-a-wheeler/spdx-tutorial,False,,
ralexander-phi/which-license,False,,
raratiru/django-quenv,False,,
dl9pf/meta-spdxscanner,False,,
kemitchell/spdx.js,False,,
librariesio/license-compatibility,False,,
opensource-jp/licenses,False,,
spdx/schema-to-java,False,,
spdx/spdx-build-tool,False,,
spdx/yalm-python,False,,
cutenode/conformance,False,,
doubleopen-project/spdx-expression,False,,
patriksvensson/spdx,False,,
alilleybrinker/cargo-spdx,False,,
blackducksoftware/bd_export_spdx2.2,False,,
hfukuchi/SPDX_specification,False,,
jslicense/spdx-exceptions.json,False,,
RedstormJones/SPDX_Eclipse_Plugin,False,,
yohangz/packer-cli,False,,
0xflotus/speedy-x,False,,
CERTCC/SBOM,False,,
domcleal/spdx-licenses,False,,
doubleopen-project/spdx-toolkit,False,,
HansHammel/license-compatibility-checker,False,,
rpavlik/spdx-to-dep5,False,,
shnitish/spdx-html,False,,
spdx/canonical-serialisation,False,,
swinslow/cmake-spdx,False,,
Terkwood/spdx-blaster,False,,
tngraf/Tethys.SPDX,False,,
conda-forge/spdx-license-matcher-feedstock,False,,
DBOMproject/tools,False,,
Fabien-Chouteau/spdx_ada,False,,
flexera-public/sca-codeinsight-reports-spdx,False,,
kyoh86/go-spdx,False,,
spdx/ATTIC-tools-go,False,,
spdx/spdx-adoption,False,,
arsharaj/spdx-license-fetcher,False,,
aschet/spdx-license-expression-tools,False,,
Cantido/spdx_cli,False,,
citation-file-format/get-spdx-licenses,False,,
dephell/dephell_licenses,False,,
desenvolvendo-me/spdxyz,False,,
DimarrWS/ws_joint_spdx,False,,
doubleopen-project/example-spdx-analysis,False,,
evenorog/license,False,,
freight-trust/legal,False,,
hen/spdx-cheat-sheet,False,,
jslicense/spdx-to-html.js,False,,
lokeshjoshi01/Simple-Storage-Solidiy,False,,
matthewb66/bd_export_spdx2.2,False,,
micziz/Licenses-In-All-Languages,False,,
mil-oss/spdx-xsd,False,,
noelmace/ngu-repro-spdx,False,,
noi-techpark/solda-debian2spdx-standalone,False,,
sbomtools/sbomtools,False,,
sekunho/cabal-check-fail,False,,
siemens/spdx-licenselist,False,,
SPDX-Git/SPDX-Git-Scanner,False,,
stdarg/spdx-licenses,False,,
swinslow/kernel-spdx-ids,False,,
tk-tanab/spdx_lite_depends,False,,
ubinux/get_spdx,False,,
whitesource-ps/ws-import-spdx,False,,
ah450/spdx-tools-python,False,,
apolopena/qna-demo-skeleton,False,,
apolopena/qna-typescript-demo-skeleton,False,,
bobby0809/spdx-license-list-XML,False,,
chris-toenjes-deye/salus-spdx-to-osv,False,,
djschleen/sbom-release-example,False,,
ekongobie/spdx-py-build-tool,False,,
extenda/spdx-maven-plugin,False,,
Fosslim/fosslim,False,,
Gal-Doron/spdx_tools-0.7.0a3_ws-py3-none-any,False,,
goneall/spdx-use-cases,False,,
hernanmd/license-selector,False,,
jonathanstowe/License-SPDX,False,,
jslicense/spdx-compare.js,False,,
jslicense/spdx-is-osi.js,False,,
jslicense/spdx-ranges.js,False,,
kube-tarian/fixer,False,,
lfpratik/spdx-poetry-demo,False,,
microsoft/spdx-simplify,False,,
mmurto/spdx-typescript,False,,
msmeissn/rpm-list-to-sbom,False,,
ndip007/spdx-tools-js,False,,
nektro/zig-detect-license,False,,
nexB/spdx-license-namespaces-registry,False,,
nhoyas88/https-spdx.org-licenses-WTFPL.html,False,,
pombredanne/spdx-dashboard,False,,
sean-clayton/licensor,False,,
senorprogrammer/spdx-racer,False,,
shinnn/get-spdx-license-ids,False,,
SPDX-CaseStudy/files,False,,
spdx/spdx-tools-js,False,,
swinslow/spdx-oin,False,,
Tokenbaldu/TOKEN-BALDU,False,,
vkambhampaty/SPDX-2.0,False,,
y-ashiduka/fossdriver-test,False,,
15-Lippo/lisprocoin,False,,
9999years/spdx-tool,False,,
Aaronvivek/fuck-token-staking-contract,False,,
aaronxsu/licenses-json-to-sql,False,,
abate/LicenseMatrix,False,,
adaptant-labs/spdx-licenses-dart,False,,
adirel/spdx,False,,
AjayrajSingh/licenseClassifier,False,,
all-nights/spdxer,False,,
AnalogJ/tangle,False,,
Anas35/sample_code,False,,
anthonyronda/LicenseRef-OGL-1.0a,False,,
aodag/wheel2spdx,False,,
aschet/spdx-license-compat,False,,
aschet/talc,False,,
AvishrantsSh/GoLicense-Classifier,False,,
ayamaoka/SPDX_Resource_Slides,False,,
ayan-b/spdx_xml_to_markdown,False,,
BabyFlokiCoin/Baby-Floki-Coin,False,,
baptistecabrera/bca-spdx,False,,
basta1255s/owntoken.sol,False,,
bbqsrc/spdx-lookup-python,False,,
bbqsrc/spdx-python,False,,
bconnorwhite/spdx-license,False,,
bharat-1809/spdx_xml_parser,False,,
bluspider/spdx,False,,
bobby0809/spdx.is,False,,
BULLBITBULL/CONTRACT,False,,
CatalinStratu/SPDX-generics-code-refactoring-example,False,,
chinmoy12c/spdxLicense,False,,
ChristianMurphy/apache-category-a-spdx,False,,
ChristianMurphy/apache-category-b-spdx,False,,
ChristianMurphy/apache-category-x-spdx,False,,
compenguy/spdx-dataset,False,,
cordlandwehr/akademy-2020-talk-spdx,False,,
cordlandwehr/akademy-2021-spdx-status,False,,
cthoyt/spdx-obo,False,,
ctron/cargo-clearlydefined,False,,
CultOfClang/Spdx,False,,
cwege/disco-opa,False,,
CycloneDX/cyclonedx-nuget,False,,
davaya/spdx-3-elements,False,,
davaya/spdx-world,False,,
davaya/spdxv3-template-tool,False,,
Debian/spdx-licenses,False,,
deepak6446/spdxValidator,False,,
Devforlive/SPDX-short-identifier-MIT,False,,
dmgerman/spdxTemplates,False,,
doubleopen-project/do-convert,False,,
dpasch01/spdx-compat-tools,False,,
dpasch01/spdx-compat-tools-webapp,False,,
DrSensor/granular-licensing-example,False,,
DST-QA/pytest-Java-build-failure,False,,
ekongobie/spdx_id_doc_gen,False,,
ekongobie/spdx-npm-build-tool,False,,
ElvisPresleyCoin/Contract-of-ELVIS,False,,
emem365/spdx_parser,False,,
etrexel/spdx-verifier-go,False,,
euantorano/spdx_licenses.nim,False,,
fegcashcommunity/fegcashcontract,False,,
Fosslim/license_matcher,False,,
freight-trust/spdx-asc-x12,False,,
gkapi/SPDXCompatTools,False,,
GMishx/spdx-test-data,False,,
goneall/Spdx-Java-Xml-Store,False,,
goneall/SpdxEclipsePlugin,False,,
gs146/software_package_data_exchange_list-SPDX-_scraping,False,,
hangal2001/SPDXHub,False,,
hastagAB/SPDX-OSS-Dataset,False,,
hattya/license.vim,False,,
heliocastro/ortsample,False,,
hixio-mh/apis.google.com-js-api.js,False,,
hoijui/SPDX-identifiers,False,,
hoijui/SPDX-identifiers-generator,False,,
howderek/get-license,False,,
Inconnu08/multi-spdx-license-parser,False,,
JackTien/bd_export_spdx2.2,False,,
jdelapla/GraphGenerator,False,,
jeremiah/spdxl,False,,
JeroenKnoops/test-spdx-action,False,,
jfontan/nonSpdx,False,,
joerter/spdx-dashboard,False,,
johannes-klein/spdx-eclipse-editor-plugin,False,,
johnjamesmccann/xerces-3.2.3-DTD-hotfix,False,,
jslicense/spdx-copyleft.json,False,,
jslicense/spdx-expression-validate.js,False,,
jslicense/spdx-license-identifiers.json,False,,
jslicense/spdx-osi.json,False,,
jslicense/spdx-whitelisted.js,False,,
jsvcycling/fetchalicense,False,,
jthomp24/ProductHistoryUtility,False,,
juancarlospaco/parselicense,False,,
kariu87/test,False,,
Kazzira/SPDX-Git-Test-Repo,False,,
KDE/licensedigger,False,,
KeKo6988/K3k0,False,,
kemitchell/spdx.kemitchell.com,False,,
keszybz/repo-license-summary,False,,
kit-ty-kate/spdx_licenses,False,,
kohldampfer/spdx-test,False,,
koizumistr/SPDX2Lite,False,,
krysnuvadga/wp-spdx-spec,False,,
kshitij5/spdx-license-fetcher,False,,
KY-Programming/license-to-json,False,,
L1malucas/AutoHeaderSPDX,False,,
lfpratik/spdx-conda-demo,False,,
lfpratik/spdx-gen-demo,False,,
lfpratik/spdx-pipenv-demo,False,,
lfpratik/spdx-venv-demo,False,,
lfscanning/spdx-acumos,False,,
lfscanning/spdx-aswf,False,,
lfscanning/spdx-ccc,False,,
lfscanning/spdx-cncf,False,,
lfscanning/spdx-dent,False,,
lfscanning/spdx-hyperledger,False,,
lfscanning/spdx-lfai,False,,
lfscanning/spdx-lfenergy,False,,
lfscanning/spdx-o-ran,False,,
lfscanning/spdx-odim,False,,
lfscanning/spdx-odpi,False,,
lfscanning/spdx-omp,False,,
lfscanning/spdx-onap,False,,
lfscanning/spdx-TEST-SPDX,False,,
lfscanning/spdx-TEST-ZLIB,False,,
lfscanning/spdx-xgvela,False,,
lfscanning/spdx-zowe,False,,
linux-mailinglist-archives/linux-spdx.vger.kernel.org.0,False,,
lokeshjoshi01/Smart-Contract-Lottery-Solidity,False,,
manifoldfinance/legal,False,,
masami256/meta-spdxscanner,False,,
matthewkmayer/spdx-go-repro,False,,
maxhbr/spdx-tools-hs,False,,
merobi-hub/license-updater,False,,
Micheal66/cotract-X-Wallet,False,,
mitchellh/go-spdx,False,,
mk-pmb/spdx-license-exceptions-js,False,,
mk-pmb/spdx-license-urls-js,False,,
moritzruth/spdx-license-data,False,,
MrUnfunny/spdx_printer,False,,
mspiegel/spdx,False,,
mvo5/spdx-license-validator,False,,
myndzi/spdx-license-matcher,False,,
ndip007/spdx-build-tool,False,,
nektro/zig-licenses,False,,
nektro/zig-licenses-text,False,,
nexB/spdx-licenses,False,,
nim-nix-pkgs/spdx_licenses,False,,
niravpatel27/gh-action-spdx-sbom-generator,False,,
nishakm/spdx-data-model,False,,
nodef/extra-license,False,,
nodepy/spdx-licenses,False,,
ok2it/spdxl,False,,
OPEN-NEXT/LOSH-Licenses,False,,
openlogic/spdx-spec,False,,
pezra/pretty-printer,False,,
pfefferle/dash-spdx-licenses,False,,
phzfi/spdx-license-checker,False,,
pld-linux/php-composer-spdx-licenses,False,,
pombredanne/Database-SPDX2.0,False,,
pombredanne/Do_SPDX,False,,
pombredanne/DoSPDX,False,,
pombredanne/pub-oss,False,,
pombredanne/scancode-non-spdx-licenses,False,,
pombredanne/spdx-pypi-pep-old,False,,
pombredanne/SPDX2.0-Dashboard-UnderConstruction,False,,
pombredanne/SPDXDash,False,,
pombredanne/yocto-spdx,False,,
poscat0x04/spdx-license,False,,
predatorx7/spdx-license-cli,False,,
PrOF-kk/spdx-headers-vscode,False,,
QMSTR/qmstr-spdx-analyzer,False,,
ralphie79/spdx-docfest-2021-sept,False,,
realshiremath/sbom,False,,
reversi-fun/license_doc_similality1,False,,
RichiH/spdx_helper,False,,
RishabhBhatnagar/TestSPDXGoModule,False,,
rjb4standards/SBOMExamples,False,,
rofrol/spdx-completion,False,,
rohieb/spdx-license-match,False,,
rpavlik/khronos-dual-license-finder,False,,
rutisan/XBN-Contrac,False,,
salewski/ads-spdx-header-defaults,False,,
sambacha/spdx-functional,False,,
sambacha/use-UPL-not-MIT,False,,
samcv/SPDX-Parser,False,,
SantiagoTorres/spdx-linking-mockups,False,,
sarathsdev/SPDX-license-detection-package,False,,
savinos/SPDX-Tools,False,,
sbomtools/apk2sbom,False,,
sbomtools/apt2sbom,False,,
sclorg-distgit/nodejs-spdx,False,,
sclorg-distgit/nodejs-spdx-correct,False,,
sclorg-distgit/nodejs-spdx-exceptions,False,,
sclorg-distgit/nodejs-spdx-expression-parse,False,,
sclorg-distgit/nodejs-spdx-license-ids,False,,
seabass-labrax/spdx-license-list-faqs,False,,
sebdeckers/talk-spdx,False,,
sergeysova/license.js,False,,
ShaigroRB/spdx-license-list-as-text,False,,
shinnn/is-spdx-license-id.js,False,,
shinnn/spdx-license-id-set,False,,
skyzyx/spdx-licenses,False,,
sp9skp/spdxl,False,,
spdx/ATTIC-airs,False,,
spdx/DOCS,False,,
spdx/license-test-generator,False,,
spdx/package-licenses-mapping,False,,
spdxdmn/spdxdmn,False,,
spdxz1/spdxz1,False,,
sschuberth/spdx-stuff,False,,
sSpeedx/SpdxDDOS,False,,
sst-yoshizumi/SPDX-CSV,False,,
stephanlachnit/dep5convert,False,,
supersimple/spdx,False,,
swarley/gem-license,False,,
swinslow-test/spdx-swinslow,False,,
swinslow/docfest-20210916,False,,
swinslow/kernelscan-py,False,,
swinslow/plugfest2-sboms,False,,
swinslow/spdx-cookbook,False,,
swinslow/spdx-swinslow,False,,
swinslow/spdxify,False,,
swinslow/spdxLicenseManager,False,,
swinslow/spdxSummarizer,False,,
tbouron/spdx-license-checker,False,,
TheFinks/Fossology-Ninka,False,,
TobyAndToby/License-Identifiers,False,,
TrustSource/ts-spdx-upload,False,,
tsteenbe/openchain-spec,False,,
tsteenbe/spdx-spec,False,,
tuananh/validate-spdx-license,False,,
utkarshshendge/spdx-guideline-examples,False,,
vladvelici/spdx-go,False,,
vmware-archive/license-notices-linter,False,,
vohidjon123/google,False,,
vpenmatsa/spdxDashboard,False,,
winlinvip/spdx_bsl,False,,
winlinvip/spdx_mit,False,,
winlinvip/spdx_mit_or_mulan,False,,
woinbo/SPDX-License-detector,False,,
wojtekmach/spdx,False,,
yevster/spdxtra-license-download,False,,
yoyoqe/uououou,False,,
zchee/go-spdx,False,,
zvr/hub-spdx,False,,
zvr/xmlindent,False,,
