Format,Tool,Repo,CreationDate,Language,Contributors,OpenPullRequest,ClosedPullRequest,Releases,Forks,Stars,Watchers,Commits,OpenIssues,ClosedIssues
SPDX,Github,lfscanning/spdx-acumos,2019-12-16T16:25:25Z,,1,0,0,0,1,0,1,359,0,0
SPDX,Github,lfscanning/spdx-aswf,2020-01-09T19:47:50Z,,2,0,0,0,0,0,1,81,0,0
SPDX,Github,lfscanning/spdx-ccc,2020-10-07T16:06:08Z,,1,0,0,0,0,0,1,7,0,0
SPDX,Github,lfscanning/spdx-cncf,2019-12-09T19:33:45Z,,2,0,0,0,0,0,1,56,0,0
SPDX,Github,lfscanning/spdx-dent,2021-09-28T14:16:26Z,,2,0,0,0,0,0,1,5,0,0
SPDX,Github,lfscanning/spdx-hyperledger,2019-12-10T16:09:10Z,,2,0,0,0,0,0,1,186,0,0
SPDX,Github,lfscanning/spdx-lfai,2020-01-10T18:38:25Z,,2,0,0,0,0,0,2,187,0,0
SPDX,Github,lfscanning/spdx-lfenergy,2021-01-28T15:57:03Z,,2,0,0,0,0,2,1,115,0,0
SPDX,Github,lfscanning/spdx-o-ran,2020-05-22T15:45:24Z,,2,0,0,0,0,0,1,143,0,0
SPDX,Github,lfscanning/spdx-odim,2020-10-08T19:52:22Z,,1,0,0,0,0,0,1,2,0,0
SPDX,Github,lfscanning/spdx-odpi,2020-01-23T17:52:19Z,,1,0,0,0,0,0,2,4,0,0
SPDX,Github,lfscanning/spdx-omp,2020-01-31T19:16:16Z,,2,0,0,0,0,1,1,78,0,0
SPDX,Github,lfscanning/spdx-onap,2019-12-06T17:01:22Z,,2,0,0,0,0,0,1,901,1,0
SPDX,Github,lfscanning/spdx-TEST-SPDX,2021-11-04T20:55:36Z,,1,0,0,0,0,0,2,2,0,0
SPDX,Github,lfscanning/spdx-TEST-ZLIB,2021-11-13T02:07:27Z,,1,0,0,0,0,0,2,2,0,0
SPDX,Github,lfscanning/spdx-xgvela,2021-01-12T16:52:10Z,,1,0,0,0,0,0,1,3,0,0
SPDX,Github,lfscanning/spdx-zowe,2020-04-27T17:02:05Z,,1,0,0,0,0,0,1,2,0,0
SPDX,Github,linux-mailinglist-archives/linux-spdx.vger.kernel.org.0,2019-11-14T13:22:21Z,,99,0,0,0,0,0,2,903,0,0
SPDX,Github,lokeshjoshi01/Smart-Contract-Lottery-Solidity,2022-02-10T05:36:58Z,Solidity,1,0,0,0,0,0,1,3,0,0
CycloneDx,Github,maciejwalkowiak/cyclonedx-spring-boot-sample,2022-07-25T12:05:06Z,Java,1,0,0,0,0,0,2,3,0,0
CycloneDx,Github,magnusp/cyclonedx-aggregator-issue,2021-07-15T08:39:35Z,,1,0,0,0,0,0,2,4,0,0
SPDX,Github,manifoldfinance/legal,2021-03-08T08:52:26Z,Shell,1,0,0,2,0,0,3,46,0,0
CycloneDx,Github,MartinStengard/rust-sbom-windows,2022-02-28T10:34:33Z,Rust,1,0,0,0,0,2,3,10,0,0
SPDX,Github,masami256/meta-spdxscanner,2021-08-20T07:55:44Z,BitBake,1,0,0,0,0,0,3,17,0,0
SPDX,Github,matthewkmayer/spdx-go-repro,2021-02-24T19:43:46Z,Go,1,0,0,0,0,0,2,2,0,0
CycloneDx,Github,mattt/CycloneDX,2021-07-12T18:12:29Z,Swift,1,0,0,0,0,4,1,1,0,0
CycloneDx,Github,mattt/swift-package-sbom,2021-07-15T20:37:32Z,Swift,1,0,0,0,3,23,3,8,0,0
SPDX,Github,maxhbr/spdx-tools-hs,2021-09-01T06:23:33Z,Haskell,1,0,0,0,0,0,4,39,0,0
SPDX,Github,merobi-hub/license-updater,2022-02-02T20:41:43Z,Python,1,0,0,0,0,0,1,11,0,0
SPDX,Github,Micheal66/cotract-X-Wallet,2021-09-16T17:58:29Z,,1,0,0,0,1,2,1,2,0,0
CycloneDx,Github,microdoc/cyclonedx-examples,2020-11-10T21:21:50Z,,0,0,0,0,0,0,1,4,0,0
SPDX,Github,mitchellh/go-spdx,2018-11-17T19:49:09Z,Go,1,0,0,0,2,23,4,5,0,0
SPDX,Github,mk-pmb/spdx-license-exceptions-js,2016-09-27T19:58:30Z,JavaScript,1,0,0,0,0,0,2,2,0,0
SPDX,Github,mk-pmb/spdx-license-urls-js,2016-09-27T16:27:32Z,JavaScript,1,0,0,0,0,0,3,3,0,0
SPDX,Github,moritzruth/spdx-license-data,2021-04-12T11:19:01Z,JavaScript,1,0,0,0,0,0,1,27,0,1
CycloneDx,Github,mostafa/practical-cscrm,2022-06-01T12:30:55Z,,1,0,0,0,1,5,2,12,0,0
SPDX,Github,MrUnfunny/spdx_printer,2021-03-23T03:55:11Z,,1,0,0,0,0,0,1,1,0,0
SPDX,Github,mspiegel/spdx,2016-05-02T17:42:51Z,Go,0,0,0,0,1,0,3,8,0,0
SPDX,Github,mvo5/spdx-license-validator,2017-07-27T12:10:04Z,Go,1,0,0,0,0,0,3,4,0,0
SPDX,Github,myndzi/spdx-license-matcher,2015-07-15T14:15:37Z,JavaScript,0,0,0,0,1,0,3,3,0,0
SPDX,Github,ndip007/spdx-build-tool,2018-05-18T18:41:20Z,Python,1,0,0,0,0,0,2,37,5,13
SPDX,Github,nektro/zig-licenses,2021-02-15T01:59:38Z,Zig,1,0,0,0,0,1,3,32,0,0
SPDX,Github,nektro/zig-licenses-text,2021-07-27T09:19:13Z,Zig,1,0,0,0,0,1,3,9,0,0
SPDX,Github,nexB/spdx-licenses,2015-10-01T16:36:57Z,,3,0,0,0,0,1,10,48,0,0
SPDX,Github,nim-nix-pkgs/spdx_licenses,2022-03-12T18:22:18Z,Nix,1,0,0,0,0,0,1,61,0,0
SPDX,Github,niravpatel27/gh-action-spdx-sbom-generator,2021-06-07T21:21:22Z,Go,1,0,0,1,4,0,2,6,1,1
SPDX,Github,nishakm/spdx-data-model,2020-12-08T14:28:07Z,Python,0,0,0,0,0,0,2,1,0,0
SPDX,Github,nodef/extra-license,2018-09-07T13:39:15Z,JavaScript,2,0,0,0,1,0,3,35,0,0
SPDX,Github,nodepy/spdx-licenses,2017-05-16T21:36:35Z,Python,1,0,0,0,0,0,2,4,0,0
SPDX,Github,ok2it/spdxl,2018-01-05T06:10:50Z,C,1,0,0,0,5,0,1,2,0,0
SPDX,Github,OPEN-NEXT/LOSH-Licenses,2021-10-05T13:23:32Z,,1,0,0,0,2,0,8,11,1,0
SPDX,Github,openlogic/spdx-spec,2010-09-24T19:44:36Z,,1,0,0,0,3,4,1,56,0,0
CycloneDx,Github,OWASP/www-project-cyclonedx,2021-06-04T16:22:34Z,CSS,3,0,0,0,2,4,8,41,0,0
CycloneDx,Github,PaulMorel1/makebom,2022-04-19T17:34:08Z,,1,0,0,0,0,1,2,1,0,0
CycloneDx,Github,PaulMorel1/viewbom,2022-04-19T00:35:05Z,JavaScript,1,0,0,0,2,1,2,15,0,0
SPDX,Github,pezra/pretty-printer,2011-03-30T15:21:38Z,Java,2,0,0,0,3,1,1,17,0,0
SPDX,Github,pfefferle/dash-spdx-licenses,2015-10-06T20:59:19Z,HTML,1,0,0,5,1,4,3,7,0,0
SPDX,Github,phzfi/spdx-license-checker,2017-04-08T22:54:15Z,JavaScript,1,0,0,0,0,0,5,2,0,0
SPDX,Github,pld-linux/php-composer-spdx-licenses,2015-11-25T16:50:11Z,,1,0,0,0,1,0,3,6,0,0
SPDX,Github,pombredanne/Database-SPDX2.0,2015-04-13T18:31:09Z,,2,0,0,0,0,0,1,6,0,0
SPDX,Github,pombredanne/Do_SPDX,2014-07-18T17:07:31Z,,212,0,0,0,0,0,2,28076,0,0
SPDX,Github,pombredanne/DoSPDX,2014-06-17T23:17:32Z,Python,1,0,0,0,0,0,1,17,0,0
SPDX,Github,pombredanne/pub-oss,2014-07-18T17:14:29Z,,1,0,0,0,0,0,2,16,0,0
SPDX,Github,pombredanne/scancode-non-spdx-licenses,2017-08-01T18:00:08Z,,1,0,0,0,0,0,1,2,0,0
SPDX,Github,pombredanne/spdx-pypi-pep-old,2017-02-20T15:02:16Z,Python,118,0,0,0,0,0,3,6773,0,0
SPDX,Github,pombredanne/SPDX2.0-Dashboard-UnderConstruction,2015-04-13T18:31:26Z,PHP,5,0,0,0,0,0,1,60,0,0
SPDX,Github,pombredanne/SPDXDash,2014-07-18T17:09:20Z,,1,0,0,0,2,0,1,5,0,0
SPDX,Github,pombredanne/yocto-spdx,2015-04-13T21:12:08Z,Shell,3,0,0,0,0,0,2,221,0,0
SPDX,Github,poscat0x04/spdx-license,2020-12-22T07:08:08Z,Haskell,0,0,0,0,0,0,3,6,0,0
SPDX,Github,predatorx7/spdx-license-cli,2020-03-15T16:37:59Z,Dart,1,0,0,0,0,0,2,11,0,0
SPDX,Github,PrOF-kk/spdx-headers-vscode,2021-09-23T09:39:30Z,Python,1,0,0,1,0,0,1,1,0,0
SPDX,Github,QMSTR/qmstr-spdx-analyzer,2019-02-13T12:15:46Z,Python,1,0,0,0,1,0,5,1,0,0
SPDX,Github,ralphie79/spdx-docfest-2021-sept,2021-09-14T21:58:30Z,,1,0,0,0,0,3,1,9,0,0
CycloneDx,Github,realshiremath/sbom,2021-11-05T18:20:26Z,Go,1,0,0,0,0,0,1,1,0,0
SPDX,Github,realshiremath/sbom,2021-11-05T18:20:26Z,Go,1,0,0,0,0,0,1,1,0,0
CycloneDx,Github,relizaio/rebom,2022-01-12T11:15:44Z,TypeScript,3,0,0,0,5,4,2,175,0,0
SPDX,Github,reversi-fun/license_doc_similality1,2018-12-18T01:31:07Z,HTML,2,10,0,0,4,7,0,71,0,1
SPDX,Github,RichiH/spdx_helper,2021-05-26T14:28:23Z,Shell,1,0,0,0,0,0,3,2,0,0
SPDX,Github,RishabhBhatnagar/TestSPDXGoModule,2020-01-10T07:42:41Z,,1,0,0,0,0,0,2,2,0,0
SPDX,Github,rjb4standards/SBOMExamples,2021-08-19T16:14:14Z,,1,0,0,0,0,1,1,5,0,0
SPDX,Github,rofrol/spdx-completion,2016-01-19T14:51:29Z,,1,0,0,0,0,0,3,1,0,0
SPDX,Github,rohieb/spdx-license-match,2017-07-31T14:43:50Z,Shell,1,0,0,0,2,5,5,29,0,2
SPDX,Github,rpavlik/khronos-dual-license-finder,2021-02-01T23:25:23Z,Kotlin,1,0,0,1,0,0,3,9,0,0
SPDX,Github,rutisan/XBN-Contrac,2021-03-13T00:08:24Z,,1,0,0,0,1,1,1,2,0,0
CycloneDx,Github,rvsoni/cyclonedx-maven-demo,2022-06-23T16:56:54Z,Java,1,0,0,0,1,0,1,4,0,0
SPDX,Github,salewski/ads-spdx-header-defaults,2020-08-22T19:40:22Z,,1,0,0,0,0,0,2,10,0,0
SPDX,Github,sambacha/spdx-functional,2020-08-20T06:57:43Z,Python,0,0,0,0,0,0,3,4,0,0
SPDX,Github,sambacha/use-UPL-not-MIT,2022-06-16T08:46:30Z,,1,0,0,0,0,1,2,4,0,0
SPDX,Github,samcv/SPDX-Parser,2017-04-30T08:52:27Z,Perl6,1,0,0,0,0,1,3,3,0,0
SPDX,Github,SantiagoTorres/spdx-linking-mockups,2020-06-09T20:49:25Z,Python,1,0,0,0,0,1,3,16,3,0
SPDX,Github,sarathsdev/SPDX-license-detection-package,2021-04-11T15:45:22Z,Dart,1,0,0,0,0,0,1,4,0,0
CycloneDx,Github,satyendra22/SBOM-generated-for-.net-project-via-cyclonedx,2021-10-26T14:20:43Z,,1,0,0,0,0,0,2,6,0,0
SPDX,Github,savinos/SPDX-Tools,2012-01-20T10:32:18Z,Java,2,0,0,0,0,1,2,52,0,0
CycloneDx,Github,sbomtools/apk2sbom,2022-02-10T13:28:28Z,Python,0,0,0,0,1,3,1,2,1,0
SPDX,Github,sbomtools/apk2sbom,2022-02-10T13:28:28Z,Python,0,0,0,0,1,3,1,2,1,0
CycloneDx,Github,sbomtools/apt2sbom,2021-12-08T18:53:37Z,Python,1,0,0,0,10,22,4,50,1,0
SPDX,Github,sbomtools/apt2sbom,2021-12-08T18:53:37Z,Python,1,0,0,0,10,22,4,50,1,0
SPDX,Github,sclorg-distgit/nodejs-spdx,2016-01-25T18:08:07Z,,1,0,0,0,0,0,5,2,0,0
SPDX,Github,sclorg-distgit/nodejs-spdx-correct,2016-01-25T18:18:18Z,,1,0,0,0,0,0,5,2,0,0
SPDX,Github,sclorg-distgit/nodejs-spdx-exceptions,2016-01-25T18:18:45Z,,1,0,0,0,0,0,5,2,0,0
SPDX,Github,sclorg-distgit/nodejs-spdx-expression-parse,2016-01-25T18:25:11Z,,1,0,0,0,0,0,5,2,0,0
SPDX,Github,sclorg-distgit/nodejs-spdx-license-ids,2016-01-25T18:25:44Z,,1,0,0,0,0,0,5,2,0,0
CycloneDx,Github,sduquette-devolutions/CyclonedxDotnetRepro,2022-04-05T17:59:13Z,C#,1,0,0,0,0,0,1,1,0,0
SPDX,Github,seabass-labrax/spdx-license-list-faqs,2021-04-19T10:03:09Z,,1,0,0,0,0,0,0,2,0,0
SPDX,Github,sebdeckers/talk-spdx,2015-10-21T05:14:20Z,,1,0,0,0,0,1,1,1,0,0
CycloneDx,Github,sepbit/wpbom,2021-12-21T00:50:51Z,PHP,1,0,0,0,1,2,1,16,0,3
CycloneDx,Github,sephiroth-j/node-dependency-track-upload,2020-01-22T20:34:52Z,JavaScript,1,0,0,0,0,1,0,20,0,0
SPDX,Github,sergeysova/license.js,2016-06-10T15:08:57Z,JavaScript,1,0,0,3,0,8,1,27,1,0
SPDX,Github,ShaigroRB/spdx-license-list-as-text,2019-09-25T10:03:00Z,,1,0,0,0,2,0,2,3,0,0
SPDX,Github,shinnn/is-spdx-license-id.js,2014-10-31T06:48:35Z,JavaScript,1,0,0,0,1,0,2,20,0,1
SPDX,Github,shinnn/spdx-license-id-set,2016-01-01T05:21:43Z,JavaScript,1,0,0,0,1,0,1,4,0,0
SPDX,Github,skyzyx/spdx-licenses,2012-10-14T06:33:36Z,,1,0,0,1,1,0,3,7,1,0
SPDX,Github,sp9skp/spdxl,2021-01-17T16:24:08Z,C,1,2,0,0,9,4,3,95,0,0
SPDX,Github,spdx/ATTIC-airs,2015-03-23T22:43:18Z,Java,1,0,0,0,1,4,4,7,0,0
SPDX,Github,spdx/DOCS,2022-07-07T15:21:44Z,,1,0,0,0,0,1,8,1,1,0
SPDX,Github,spdx/license-test-generator,2017-09-07T17:37:02Z,PHP,2,0,0,0,1,3,4,4,0,0
SPDX,Github,spdx/package-licenses-mapping,2019-09-25T13:31:51Z,,1,0,0,0,0,2,3,1,4,0
SPDX,Github,spdxdmn/spdxdmn,2022-03-24T01:19:19Z,,1,0,0,0,0,0,1,2,0,0
SPDX,Github,spdxz1/spdxz1,2022-03-21T19:56:25Z,,1,0,0,0,0,0,1,14,0,0
SPDX,Github,sschuberth/spdx-stuff,2017-02-17T08:10:18Z,Shell,1,0,0,0,1,0,2,6,0,0
SPDX,Github,sSpeedx/SpdxDDOS,2022-04-29T02:18:30Z,Python,1,0,0,0,2,4,1,14,0,0
SPDX,Github,sst-yoshizumi/SPDX-CSV,2020-03-24T00:06:51Z,Python,4,0,0,0,0,0,2,135,0,0
CycloneDx,Github,Starkiller1988/mockup_cyclonedx,2022-05-05T05:53:46Z,TypeScript,1,0,0,0,0,0,1,1,0,0
SPDX,Github,stephanlachnit/dep5convert,2022-02-11T00:33:29Z,Python,1,0,0,0,1,4,3,12,1,0
SPDX,Github,supersimple/spdx,2021-05-22T05:14:22Z,Erlang,0,0,0,0,0,1,4,6,0,0
SPDX,Github,swarley/gem-license,2019-05-23T00:39:43Z,Ruby,1,0,0,0,1,2,1,8,0,0
SPDX,Github,swinslow-test/spdx-swinslow,2021-09-29T14:10:10Z,,1,0,0,0,0,0,1,3,0,0
SPDX,Github,swinslow/docfest-20210916,2021-09-03T00:02:46Z,,1,0,0,0,0,0,3,1,0,0
SPDX,Github,swinslow/kernelscan-py,2019-01-16T13:59:03Z,Python,1,0,0,0,0,1,3,3,0,0
SPDX,Github,swinslow/plugfest2-sboms,2021-05-30T16:51:42Z,,1,0,0,0,0,0,3,8,0,0
SPDX,Github,swinslow/spdx-cookbook,2019-10-25T19:01:38Z,,1,0,0,0,0,0,2,2,1,0
SPDX,Github,swinslow/spdx-swinslow,2020-01-31T03:38:54Z,,1,0,0,0,0,0,3,4,0,0
SPDX,Github,swinslow/spdxify,2019-08-24T19:46:04Z,Go,1,0,0,0,0,0,2,6,0,0
SPDX,Github,swinslow/spdxLicenseManager,2018-01-20T19:58:53Z,Python,1,0,0,0,1,0,2,186,1,0
SPDX,Github,swinslow/spdxSummarizer,2017-09-23T12:49:07Z,Python,1,0,0,1,1,2,2,35,4,3
SPDX,Github,tbouron/spdx-license-checker,2016-04-15T09:50:41Z,Java,1,0,0,0,1,5,3,9,0,0
SPDX,Github,TheFinks/Fossology-Ninka,2014-02-03T08:13:58Z,Python,2,0,0,0,1,0,5,140,3,11
CycloneDx,Github,TheTechSurgeon/CYCLONEDX,2021-08-17T16:57:45Z,,0,0,0,0,0,0,2,1,0,0
CycloneDx,Github,tjarrettveracode/veracode-collections-sbom,2022-05-05T14:10:46Z,Python,1,1,0,0,2,2,1,9,0,4
SPDX,Github,TobyAndToby/License-Identifiers,2021-02-28T16:00:30Z,C#,3,2,0,0,0,0,1,45,0,0
CycloneDx,Github,traubad/CycloneDXDirectoryConverter,2021-07-18T14:13:29Z,Python,1,0,0,0,0,0,1,8,0,0
SPDX,Github,TrustSource/ts-spdx-upload,2022-03-28T15:49:47Z,Python,2,0,0,0,0,0,3,5,0,0
SPDX,Github,tsteenbe/openchain-spec,2017-06-18T15:44:06Z,JavaScript,1,0,0,0,1,0,1,2,0,0
SPDX,Github,tsteenbe/spdx-spec,2017-05-02T20:18:36Z,JavaScript,2,0,0,5,0,0,2,47,0,0
SPDX,Github,tuananh/validate-spdx-license,2022-07-01T08:23:34Z,Go,1,0,0,0,0,1,2,5,0,0
SPDX,Github,utkarshshendge/spdx-guideline-examples,2021-04-02T04:15:29Z,,1,0,0,0,0,0,1,4,0,0
CycloneDx,Github,veracode/cyclonedx-property-taxonomy,2022-08-02T03:48:42Z,,1,0,0,0,0,0,2,8,0,0
SPDX,Github,vladvelici/spdx-go,2014-05-27T08:49:03Z,Go,2,0,0,0,1,2,2,129,5,41
SPDX,Github,vmware-archive/license-notices-linter,2020-09-11T10:27:13Z,Go,0,0,0,0,0,0,2,8,0,0
SPDX,Github,vohidjon123/google,2022-04-13T14:01:22Z,,1,0,0,0,4,9,3,1,4,0
SPDX,Github,vpenmatsa/spdxDashboard,2014-05-07T20:18:03Z,PHP,1,0,0,0,1,0,2,3,0,0
SPDX,Github,winlinvip/spdx_bsl,2021-05-31T02:44:36Z,,1,0,0,0,0,0,2,3,0,0
SPDX,Github,winlinvip/spdx_mit,2021-05-31T01:13:14Z,,1,0,0,0,0,0,1,8,0,0
SPDX,Github,winlinvip/spdx_mit_or_mulan,2021-05-31T00:31:51Z,,1,0,0,0,0,0,1,18,0,0
SPDX,Github,woinbo/SPDX-License-detector,2021-03-31T14:53:17Z,Dart,1,0,0,0,0,0,1,1,0,0
SPDX,Github,wojtekmach/spdx,2018-12-28T21:42:01Z,Elixir,1,0,0,0,0,1,3,5,0,0
SPDX,Github,yevster/spdxtra-license-download,2016-05-19T08:17:54Z,Java,1,0,0,1,1,0,2,6,0,0
SPDX,Github,yoyoqe/uououou,2021-06-26T15:34:10Z,,1,0,0,0,0,2,1,1,0,0
SPDX,Github,zchee/go-spdx,2020-03-11T23:04:35Z,Go,1,0,0,0,0,0,2,3,0,0
CycloneDx,Github,zg2pro/cyclonedx-plugin-issue-117,2021-08-12T08:31:29Z,,0,0,0,0,0,0,1,6,0,0
SPDX,Github,zvr/hub-spdx,2018-04-24T17:17:46Z,Java,1,0,0,0,0,0,3,132,0,0
SPDX,Github,zvr/xmlindent,2017-08-19T09:24:45Z,TeX,1,0,0,0,0,3,4,12,0,0
