Format,Tool,Repo,CreationDate,Language,Contributors,OpenPullRequest,ClosedPullRequest,Releases,Forks,Stars,Watchers,Commits,OpenIssues,ClosedIssues
CycloneDx,Github,CycloneDX/sbom-commons,2021-06-30T04:54:39Z,Java,4,8,45,0,1,1,4,40,0,0
SPDX,Github,pmonks/tools-licenses,2021-10-25T20:13:16Z,Clojure,1,0,45,0,4,6,2,230,2,8
SPDX,Github,snyk-tech-services/snyk2spdx,2021-05-21T15:59:04Z,TypeScript,4,2,44,18,8,14,5,92,7,1
SPDX,Github,nexB/license-expression,2016-08-23T17:39:00Z,Python,23,1,43,5,20,53,14,611,19,32
SPDX,Github,spdx/spdx-java-jackson-store,2020-01-17T23:36:22Z,Java,3,1,42,18,6,3,3,157,3,22
SPDX,Github,spdx/spdx-java-rdf-store,2019-12-06T23:06:03Z,Java,2,1,41,18,3,2,3,163,1,13
SPDX,Github,spdx/spdx-examples,2020-07-17T22:49:19Z,Java,10,6,40,0,47,109,12,85,9,24
CycloneDx,Github,sthagen/cyclonedx-lint,2021-03-02T18:13:01Z,Python,1,0,40,2,0,1,2,2220,0,0
SPDX,Github,librariesio/spdx,2015-02-05T22:09:43Z,Ruby,7,0,39,7,8,35,5,167,2,40
SPDX,Github,composer/spdx-licenses,2015-07-14T15:27:19Z,PHP,18,0,34,20,22,1389,9,156,1,9
CycloneDx,Github,conda-forge/cyclonedx-bom-feedstock,2022-01-17T18:01:18Z,,5,0,34,0,2,0,7,116,0,0
CycloneDx,Github,CycloneDX/cyclonedx-cocoapods,2019-10-10T15:04:12Z,Ruby,6,0,34,6,12,20,7,191,2,34
SPDX,Github,spdx/spdx-java-tagvalue-store,2020-09-09T03:26:27Z,Java,1,1,34,15,1,2,3,118,6,19
SPDX,Github,moritzruth/license-chooser,2021-04-15T14:27:19Z,Vue,2,5,32,0,0,0,1,49,0,0
SPDX,Github,boyter/lc,2018-01-22T00:06:16Z,Go,5,0,31,9,16,120,8,393,4,16
CycloneDx,Github,CycloneDX/gh-gomod-generate-sbom,2021-06-04T18:36:39Z,JavaScript,5,3,31,6,5,9,4,81,1,4
