"","Tags","identifier","n"
"132","accessibility","CycloneDX",1
"133","advanced","CycloneDX",5
"134","advanced","SPDX",10
"135","advisor","SPDX",96
"136","already on SPDX License List","SPDX",6
"137","analyzer","SPDX",688
"138","answered","SPDX",5
"139","api docs","CycloneDX",9
"140","arch","CycloneDX",12
"141","arch","SPDX",24
"142","archive extraction","CycloneDX",17
"143","archive extraction","SPDX",34
"144","assigned","CycloneDX",41
"145","assigned","SPDX",82
"146","attestation","CycloneDX",8
"147","attestation","SPDX",3
"148","auto-gen","CycloneDX",20
"149","await community interest","SPDX",2
"150","beginner","CycloneDX",9
"151","beginner","SPDX",18
"152","binary and code analysis","CycloneDX",3
"153","binary and code analysis","SPDX",6
"154","binary and compiled code","CycloneDX",5
"155","binary and compiled code","SPDX",10
"156","binary-analysis","CycloneDX",18
"157","binary-analysis","SPDX",9
"158","blocked","CycloneDX",21
"159","blocked","SPDX",12
"160","breaking","CycloneDX",1
"161","breaking change","CycloneDX",63
"162","breaking change","SPDX",50
"163","breaking-change","CycloneDX",42
"164","breaking-change","SPDX",20
"165","breaking-changes","CycloneDX",10
"166","breaking-changes","SPDX",10
"167","bug","CycloneDX",5815
"168","bug","SPDX",3979
"169","bug-candidate","CycloneDX",16
"170","build","CycloneDX",2
"171","build","SPDX",18
"172","build process","CycloneDX",2
"173","cannot reproduce","CycloneDX",39
"174","cannot reproduce","SPDX",7
"175","canonicalization","SPDX",1
"176","cargo-cyclonedx","CycloneDX",10
"177","cargo-cyclonedx","SPDX",10
"178","cd","CycloneDX",6
"179","cdx-1.3","CycloneDX",1
"180","cdx-1.4","CycloneDX",4
"181","cdx-1.5","CycloneDX",4
"182","cdx-1.6","CycloneDX",2
"183","change to spec (also)","SPDX",3
"184","changelog-ignore","CycloneDX",314
"185","changelog-ignore","SPDX",59
"186","chore","CycloneDX",34
"187","chore","SPDX",25
"188","ci","CycloneDX",3
"189","cleanup","CycloneDX",22
"190","clearlydefined","SPDX",8
"191","cli","SPDX",20
"192","cli:apply","CycloneDX",29
"193","cli:other","CycloneDX",11
"194","cli:test","CycloneDX",48
"195","comment-styles","SPDX",68
"196","community feedback request","CycloneDX",3
"197","community-meeting","CycloneDX",4
"198","community-meeting","SPDX",2
"199","complex","CycloneDX",2
"200","complex","SPDX",4
"201","component:cicd","CycloneDX",8
"202","component:cli","CycloneDX",36
"203","component:dep-sources","CycloneDX",57
"204","component:docs","CycloneDX",16
"205","component:fixes","CycloneDX",2
"206","component:output-formats","CycloneDX",13
"207","component:tests","CycloneDX",3
"208","component:vuln-sources","CycloneDX",12
"209","configuration","SPDX",114
"210","copyright scan","CycloneDX",55
"211","copyright scan","SPDX",110
"212","core and api","CycloneDX",45
"213","core and api","SPDX",90
"214","coverage","CycloneDX",1
"215","cpe","CycloneDX",4
"216","cpe","SPDX",2
"217","cyclonedx","CycloneDX",3
"218","cyclonedx","SPDX",6
"219","cyclonedx-bom","CycloneDX",5
"220","cyclonedx-bom","SPDX",5
"221","data model","SPDX",34
"222","defect","CycloneDX",423
"223","defect","SPDX",18
"224","deferred","CycloneDX",1
"225","deferred","SPDX",1
"226","deliverable:container-image","CycloneDX",6
"227","dependencies","CycloneDX",56
"228","dependencies","SPDX",54
"229","design needed","CycloneDX",11
"230","design needed","SPDX",22
"231","design-partner-1","CycloneDX",92
"232","design-partner-2","CycloneDX",21
"233","design-partner-3","CycloneDX",10
"234","design-partner-4","CycloneDX",19
"235","design-partner-5","CycloneDX",16
"236","design-partner-6","CycloneDX",20
"237","design-partner-7","CycloneDX",1
"238","development environment","CycloneDX",4
"239","development environment","SPDX",8
"240","discovery","CycloneDX",53
"241","discuss on legal call","SPDX",9
"242","discussion","CycloneDX",7
"243","discussion","SPDX",4
"244","discussion needed","SPDX",8
"245","do not merge - нет!","SPDX",1
"246","doc improvement","SPDX",7
"247","doc required","CycloneDX",6
"248","docker","CycloneDX",2
"249","docker","SPDX",146
"250","docs","CycloneDX",27
"251","docs","SPDX",36
"252","documentation","CycloneDX",225
"253","documentation","SPDX",424
"254","downloader","SPDX",96
"255","downstream:broken-package","CycloneDX",1
"256","duplicate","CycloneDX",183
"257","duplicate","SPDX",98
"258","easy","CycloneDX",59
"259","easy","SPDX",118
"260","ecosystem:go","CycloneDX",24
"261","ecosystem:go","SPDX",8
"262","ecosystem:java","CycloneDX",82
"263","ecosystem:java","SPDX",19
"264","ecosystem:javascript","CycloneDX",42
"265","ecosystem:javascript","SPDX",7
"266","ecosystem:os","CycloneDX",22
"267","ecosystem:os","SPDX",9
