tool_used,about,link,projectCategory,tags,licence,stars,watchers,forks,releases,latestRelease,packages,usedBy,contributors,openIssues,closedIssues,openPRs,closedPRs,commits,programmingLanguage,format
bom,Envoy with Cilium filters,https://github.com/cilium/proxy,[],[],Apache-2.0 license,102,22,41,,,0.0,76.0,19.0,9,22,7,330,748,C++,SPDX
tools-golang,A Go implementation of in-toto. in-toto is a framework to protect software supply chain integrity.,https://github.com/in-toto/in-toto-golang,[],"['security', 'software-supply-chain', 'in-toto']",View license,100,10,44,14.0,v0.9.0,,,28.0,24,51,2,193,827,Go,SPDX
tools-java,Examples of SPDX files for software combinations,https://github.com/spdx/spdx-examples,[],[],,92,11,41,,,0.0,,9.0,9,23,0,38,81,Java,SPDX
Spdx-Java-Library,Collection of Go packages to work with SPDX files,https://github.com/spdx/tools-golang,[],[],,91,12,51,10.0,v0.5.3,0.0,500.0,19.0,27,69,2,126,456,Go,SPDX
bom,A repository of NUR that combines all repositories [maintainer=@Mic92],https://github.com/nix-community/nur-combined,[],['nur'],,87,9,12,,,0.0,,2.0,2,6,0,5,"35,581",Nix,SPDX
sbom-tool,A simple light-weight library that wraps the Open AI API.,https://github.com/johniwasz/whetstone.chatgpt,[],"['dotnet', 'openai', 'whisper', 'dotnet-standard2', 'dotnet-standard2-1', 'gpt-3', 'gpt-4', 'chatgpt', 'whisper-ai', 'gpt-35-turbo']",,87,9,14,9.0,"Added GPT 3.5, GPT 4.0 and Whisper Support",0.0,,3.0,2,0,4,109,119,C#,SPDX
bom,"ScanCode.io is a server to script and automate software composition analysis pipelines with ScanPipe pipelines. This project is sponsored by NLnet project https://nlnet.nl/project/vulnerabilitydatabase/ Google Summer of Code, nexB and others generous sponsors!",https://github.com/nexB/scancode.io,[],"['docker', 'open-source', 'virtual-machine', 'vulnerabilities', 'license', 'spdx', 'sca', 'scancode', 'software-composition-analysis', 'purl', 'package-url', 'cyclonedx', 'foss-compliance']",Apache-2.0 license,81,14,79,32.0,v32.6.0,,,15.0,194,407,7,321,766,Python,SPDX
tools-java,A collection of reusable Github Actions workflows.,https://github.com/chainguard-dev/actions,[],[],Apache-2.0 license,81,4,41,,,0.0,,29.0,12,12,11,294,257,,SPDX
sbom-tool,Extension for interacting with Dapr APIs from an Azure Function,https://github.com/Azure/azure-functions-dapr-extension,[],[],MIT license,79,18,25,6.0,Azure Functions Dapr Extension v0.16.0-preview01,0.0,,16.0,15,28,1,109,206,C#,SPDX
ort,The lightweight and flexible Cookie Consent Banner,https://github.com/porscheofficial/cookie-consent-banner,[],"['react', 'privacy', 'webcomponents', 'reactjs', 'cookies', 'cookie-consent', 'gdpr', 'stenciljs', 'cookie-consent-banner']",,69,4,6,13.0,v3.1.5,,9.0,4.0,3,14,0,8,120,TypeScript,SPDX
ort,Sample scan files for testing DefectDojo imports,https://github.com/DefectDojo/sample-scan-files,[],"['security', 'scans', 'appsec']",MIT license,66,17,117,,,0.0,,42.0,0,4,0,75,189,HTML,SPDX
ort,"My dotfiles (configurations and settings) for shells, text editors and other terminal programs, plus a collection of scripts.",https://github.com/dmitmel/dotfiles,[],[],MIT license,66,7,7,,,0.0,,2.0,0,1,0,17,"1,005",Lua,SPDX
bom,"A high-throughput, distributed, publish-subscribe messaging system",https://github.com/a0x8o/kafka,[],[],,58,5,170,,,0.0,,11.0,16,7,23,9,"1,216",Java,SPDX
bom,CycloneDX SBOM Model and Utils for Creating and Validating BOMs,https://github.com/CycloneDX/cyclonedx-core-java,[],"['owasp', 'bom', 'vex', 'spdx', 'bill-of-materials', 'software-bill-of-materials', 'purl', 'package-url', 'sbom', 'cyclonedx', 'obom', 'mbom', 'saasbom']",Apache-2.0 license,57,6,47,,,0.0,,25.0,21,41,10,257,938,Java,SPDX
tools-java,Source for the website providing online SPDX tools,https://github.com/spdx/spdx-online-tools,[],[],Apache-2.0 license,52,14,59,4.0,Release 1.2.1 of the SPDX Online Tools,0.0,,29.0,43,186,14,251,"1,170",JavaScript,SPDX
