tool_used,about,link,projectCategory,tags,licence,stars,watchers,forks,releases,latestRelease,packages,usedBy,contributors,openIssues,closedIssues,openPRs,closedPRs,commits,programmingLanguage
cyclonedx-python,alt homebrew-core for macos catalina attempt to set repo to allow CI to build bottles for macos 10.15,https://github.com/ipatch/homebrew-core-catalina,[],[],,0,2,0,,,0,,5000+,0,0,0,0,"333,669",Ruby
cyclonedx-python,,https://github.com/shubhamsns/homebrew-core,[],[],,0,1,0,,,0,,5000+,0,0,0,0,"336,946",Ruby
cyclonedx-python,Experimental Homebrew support for deprecated macOS Mojave.,https://github.com/gromgit/homebrew-core-mojave,[],"['homebrew', 'unofficial', 'mojave', 'no-warranty']",,17,3,3,3859,ecoji,0,,,3,6,0,0,"24,999",Ruby
cyclonedx-python,,https://github.com/ungtb10d/homebrew-core,[],[],,0,1,0,,,0,,5000+,0,0,0,0,"321,051",Ruby
cyclonedx-python,,https://github.com/corecryptics/MacOSReports,[],[],,2,2,0,,,0,,,1,0,0,1,88,Ruby
cyclonedx-python,,https://github.com/MikeMcQuaid/homebrew-core-git-filter-repo,[],[],,0,2,0,,,0,,5000+,0,0,0,0,"390,339",Ruby
cyclonedx-python,registry of feedstock outputs,https://github.com/conda-forge/feedstock-outputs,[],[],BSD-3-Clause license,1,13,24,,,0,,32,0,1,0,50,"24,244",Python
cyclonedx-python,,https://github.com/fla-sil/PyTorrent,[],[],,33,2,21,,,0,,4,0,1,0,13,63,
cyclonedx-python,,https://github.com/osslab-pku/SILENCE,[],[],View license,4,2,0,,,0,,3,0,0,0,0,40,Jupyter
cyclonedx-python,This is a sample repo with all the top pypi packages,https://github.com/jjcaine/top_dependencies_python,[],[],,2,1,0,,,0,,,0,0,0,0,1,Python
cyclonedx-python,Identifies security issues in Pixie data and sends them to New Relic Insights.,https://github.com/newrelic-experimental/nr-pixie-security-plugin,[],[],Apache-2.0 license,0,2,1,,,0,,3,0,0,12,3,14,Python
cyclonedx-python,Reliable Energy Analytics LLC Downloads,https://github.com/rjb4standards/REA-Products,[],"['supply-chain', 'risk-assessment', 'sbom', 'rea-products']",,2,1,1,,,0,,,2,1,0,0,496,Python
cyclonedx-python,,https://github.com/kingh0730/build_from_the_stack,[],[],,2,1,1,,,0,,,0,0,1,0,500,Python
cyclonedx-python,,https://github.com/aws-samples/amazon-pinpoint-integration-line-messaging-api,[],[],MIT-0 license,2,5,2,,,0,,2,0,0,0,0,12,Python
cyclonedx-python,Experiments. May break without warning,https://github.com/jauderho/sandbox,[],"['sandbox', 'experiments']",BSD-3-Clause license,3,2,2,,,5,,3,0,2,5,2977,"4,440",Dockerfile
cyclonedx-python,ARGO: Projects' Time-Series Data Fetching and Visualizing Tool for GitHub,https://github.com/tamadalab/Argo,[],[],,1,2,1,,,0,,,1,11,0,7,44,Python
cyclonedx-python,Boilerplate for Python projects,https://github.com/dsakuma/setup-python-project,[],"['python', 'boilerplate']",,2,0,0,,,0,,,0,0,0,0,40,Dockerfile
cyclonedx-python,monitoring-github-stats,https://github.com/NetDevAutomate/monitoring-github-stats,[],[],,0,2,0,,,0,,,0,0,0,0,6,Python
cyclonedx-python,Ansible role to manage hostname installation,https://github.com/AlbanAndrieu/ansible-hostname,[],[],GPL-3.0 license,2,3,0,1,Basics,0,,,0,0,0,0,18,Makefile
cyclonedx-python,Ethereum 2.0 staking infrastructure & instructions,https://github.com/jimpo/eth-staking,[],[],,3,2,8,,,0,,,0,0,2,0,62,Python
cyclonedx-python,,https://github.com/aws-samples/cdk-fargate-gitlab-runner,[],[],MIT-0 license,27,4,13,,,0,,4,2,7,5,14,9,Shell
cyclonedx-python,,https://github.com/hadenlabs/zsh-starship,[],"['plugin', 'linux', 'dotfiles', 'zsh', 'osx', 'peru', 'starship']",LGPL-3.0 license,8,2,1,,,0,,,0,19,6,48,144,Shell
cyclonedx-python,Zsh nvim,https://github.com/luismayta/zsh-nvim,[],"['plugin', 'linux', 'dotfiles', 'zsh', 'lua', 'osx', 'nvim', 'peru']",LGPL-3.0 license,7,2,0,,,0,,3,1,11,0,283,381,Shell
cyclonedx-python,,https://github.com/luismayta/zsh-apps,[],"['zsh', 'tools', 'apps', 'nativefier', 'peru']",LGPL-3.0 license,4,2,0,,,0,,2,2,21,0,70,240,Shell
cyclonedx-python,Ansible role to manage jenkins slave installation,https://github.com/AlbanAndrieu/ansible-jenkins-slave,[],[],GPL-3.0 license,19,5,14,11,Downgrade pip for python 2.7 to 20.2.4,0,,,0,3,5,2,10,Jinja
cyclonedx-python,Nabla custom git hooks,https://github.com/AlbanAndrieu/nabla-hooks,[],[],Apache-2.0 license,2,4,1,5,v1.0.4,0,,2,1,0,14,26,140,Python
cyclonedx-python,"Svelte components that implement D3 charts, which are then used to build fully fledged dashboards.",https://github.com/Kamalabot/svelteDashBoards,[],[],MIT license,0,0,1,,,0,,,0,0,0,0,52,Svelte
cyclonedx-python,Turn an answer on StackOverflow into a python package you can vendorize,https://github.com/matthewdeanmartin/so_pip,[],"['python', 'pypi', 'stackoverflow', 'vendoring', 'packaging-python']",MIT license,5,2,0,,,1,,2,2,1,0,62,85,Python
cyclonedx-python,Artemis source code scanner,https://github.com/WarnerMedia/artemis,[],[],MIT license,22,5,4,,,0,,6,0,0,0,62,69,TypeScript
cyclonedx-python,Ansible role to manage jenkins slave installation on docker image,https://github.com/AlbanAndrieu/ansible-jenkins-slave-docker,[],[],,6,4,8,14,v2.0.4,0,,2,0,0,25,216,104,Shell
cyclonedx-python,slides IoC challenger,https://github.com/luismayta/slides-ioc-challenger,[],"['ioc', 'automation', 'tools', 'terraform', 'slides', 'peru', 'terragrunt']",LGPL-3.0 license,4,2,0,,,0,,2,1,4,4,71,187,Makefile
cyclonedx-python,Ansible role to install synergy,https://github.com/AlbanAndrieu/ansible-synergy,[],[],GPL-3.0 license,2,3,0,2,Use synergy stable v2.0 as default,0,,,0,0,0,0,26,Jinja
cyclonedx-python,Discord bot for editing members' roles based on their reactions to given message,https://github.com/Lee-W/discord_reaction_to_role_bot,[],[],MIT license,0,1,0,,,0,,3,0,0,5,45,27,Python
cyclonedx-python,,https://github.com/bridgecrewio/whorf,[],[],,9,7,1,,,1,,4,2,0,6,37,958,Python
cyclonedx-python,Toolset to publish session video to YouTube,https://github.com/pycontw/session-video-publisher,[],[],ISC license,0,5,6,,,0,,8,2,1,1,15,86,Python
cyclonedx-python,Projeto para interagir com a API da flash courier,https://github.com/itallominatti/api-flash,[],[],,1,1,0,,,0,,,0,0,0,0,4,Python
cyclonedx-python,A fork of pydoc to fix some problems with it.,https://github.com/matthewdeanmartin/pydoc_fork,[],[],MIT license,2,1,0,,,0,,,1,1,0,0,39,Python
