tool_used,link,creation_date,,stars,watchers,forks,releases,contributors,openIssues,closedIssues,openPRs,closedPRs,commits,type
swift-package-sbom,https://github.com/googleapis/google-cloud-go,2014-05-09T11:11:58Z,,145,5,18,23,5,2,26,0,14,720,CycloneDX
tools-golang,https://github.com/GoogleContainerTools/distroless,2017-04-18T22:02:38Z,,229,14,36,72,25,35,202,15,678,713,CycloneDX
ko-build/ko,https://github.com/GoogleContainerTools/skaffold,2018-01-23T18:51:29Z,,149,1,81,,34,29,120,9,357,688,CycloneDX
bom,https://github.com/gosh-sh/gosh-build-tools,2023-03-21T09:19:09Z,,0,1,0,,3,4,19,7,173,666,SPDX
sbom-tool,https://github.com/greenbone/actions,2021-05-22T15:42:03Z,,24,11,34,,26,121,329,6,886,664,SPDX
bom,https://github.com/gridgentoo/uber-kubernetes-test-infra,2023-03-01T10:39:59Z,,24,11,14,34,16,28,181,3,317,664,SPDX
cyclonedx-gradle-plugin,https://github.com/groboclown/p4ic4idea,2015-02-03T18:51:06Z,,33,5,3,7,,14,22,0,0,657,CycloneDX
cyclonedx-python,https://github.com/gromgit/homebrew-core-mojave,2021-11-16T10:03:08Z,,3,4,11,,9,5,7,4,264,649,SPDX
cyclonedx-python-lib,https://github.com/guacsec/guac,2022-06-10T17:28:07Z,,31,8,11,101,2,35,189,0,10,647,CycloneDX
ko-build/ko,https://github.com/gythialy/golang-cross,2019-08-22T02:13:33Z,,77,9,35,,20,9,85,5,1174,645,CycloneDX
cyclonedx-maven-plugin,https://github.com/hboutemy/mcmm-yaml,2017-05-26T10:11:15Z,,141,13,49,,36,97,258,2,727,640,SPDX
bom,https://github.com/helm/chartmuseum,2017-09-19T05:48:21Z,,33000,58,378,36,78,92,259,9,362,633,SPDX
bom,https://github.com/hivelocity/cluster-api-provider-hivelocity,2022-10-21T14:25:15Z,,37,4,11,1,3,1,5,0,6,628,CycloneDX
cyclonedx-gomod,https://github.com/Homebrew/homebrew-core,2016-03-01T06:58:36Z,,272,26,47,4,11,69,126,8,97,627,CycloneDX
cyclonedx-python,https://github.com/huggingface/datasets-server,2021-07-26T09:00:53Z,,53,4,11,79,2,4,0,14,3,609,CycloneDX
cyclonedx-python,https://github.com/HumbleData/beginners-data-workshop,2020-05-08T09:52:21Z,,11,2,6,18,5,8,10,7,235,609,SPDX
cyclonedx-node-npm,https://github.com/hyperledger/fabric-gateway,2020-09-15T09:49:35Z,,4,57,0,71,16,1,2,2,491,601,SPDX
bom,https://github.com/IBM/CBOM,2022-12-16T11:25:50Z,,143,8,36,16,18,42,81,3,52,601,CycloneDX
bom,https://github.com/iinnovations/iicontrollibs,2013-11-18T18:16:45Z,,58,12,15,10,12,14,24,0,163,599,CycloneDX
tools-golang,https://github.com/in-toto/in-toto-golang,2018-10-15T15:18:06Z,,46,14,31,,18,18,13,8,141,598,CycloneDX
sbom-cli,https://github.com/intelops/kubviz,2021-12-19T06:21:54Z,,179,54,153,286,25,25,169,5,347,595,CycloneDX
cyclonedx-go,https://github.com/interlynk-io/sbomasm,2023-05-03T22:09:00Z,,333,33,277,262,29,29,229,7,313,594,CycloneDX
cyclonedx-gomod,https://github.com/interlynk-io/sbomqs,2023-01-31T22:59:22Z,,102,7,19,33,7,9,55,12,290,588,CycloneDX
swift-package-sbom,https://github.com/istio/release-builder,2019-08-19T22:52:41Z,,474,14,53,29,28,92,301,5,680,588,SPDX
tools-golang,https://github.com/jasona7/ChatCVE,2023-05-25T14:16:44Z,,24,3,13,70,12,16,20,15,197,575,CycloneDX
build-info-go,https://github.com/JetBrains/intellij-community,2011-09-30T13:33:05Z,,14,3,6,,5,20,66,1,150,572,CycloneDX
spdx-maven-plugin,https://github.com/JetBrains/kotlin,2012-02-13T17:29:58Z,,39,17,22,80,25,9,78,3,431,570,CycloneDX
cyclonedx-go,https://github.com/jetstack/tally,2022-09-07T09:00:43Z,,14,2,3,11,4,25,45,9,344,553,SPDX
build-info-go,https://github.com/jfrog/build-info,2011-02-20T23:33:55Z,,22,5,0,22,7,2,8,13,133,552,CycloneDX
cyclonedx-go,https://github.com/jfrog/build-info-go,2021-10-20T14:06:09Z,,0,1,1,3,3,5,44,9,267,542,SPDX
build-info-go,https://github.com/jfrog/frogbot,2022-03-06T12:19:58Z,,155,15,59,50,30,26,101,19,430,538,CycloneDX
build-info-go,https://github.com/jfrog/jfrog-cli,2015-08-18T20:49:18Z,,835,23,59,53,25,50,200,3,426,525,CycloneDX
build-info-go,https://github.com/jfrog/jfrog-cli-core,2020-09-08T10:56:52Z,,59,8,18,5,21,73,48,8,581,509,CycloneDX
build-info-go,https://github.com/jfrog/jfrog-cli-plugins,2020-10-26T07:57:42Z,,89,8,26,22,16,20,48,3,71,509,CycloneDX
build-info-go,https://github.com/jfrog/jfrog-client-go,2018-06-17T15:46:41Z,,22,1,4,21,5,0,12,0,158,506,CycloneDX
cyclonedx-node-npm,https://github.com/joeferner/redis-commander,2012-06-18T14:30:04Z,,15,9,10,8,22,36,49,3,57,506,SPDX
cyclonedx-python,https://github.com/john-sandall/python-productivity-powerups,2020-05-05T16:26:11Z,,85,27,120,121,40,18,273,18,273,488,CycloneDX
sbom-tool,https://github.com/johniwasz/whetstone.chatgpt,2022-12-29T22:22:26Z,,114,8,37,33,23,0,98,0,251,484,CycloneDX
sbom-tool,https://github.com/johnterickson/cargo2junit,2019-02-16T18:00:02Z,,12000,21,119,16,,0,21,0,4,484,CycloneDX
tools-python,https://github.com/jotterson/sbom-validator,2021-09-17T17:11:47Z,,238,30,47,73,18,37,45,2,432,483,CycloneDX
cyclonedx-gradle-plugin,https://github.com/jreleaser/jreleaser,2020-11-28T14:33:15Z,,13,6,5,6,10,1,5,1,85,473,CycloneDX
cyclonedx-node-npm,https://github.com/juice-shop/juice-shop,2014-09-19T14:53:06Z,,115,9,82,13,15,17,133,2,444,465,CycloneDX
cyclonedx-maven-plugin,https://github.com/jvm-repo-rebuild/reproducible-central,2019-01-16T01:54:48Z,,1,0,3,106,6,9,2,0,67,464,SPDX
bom,https://github.com/karuppiah7890/tanzu-framework,2021-07-28T07:22:11Z,,2,5,3,2,3,0,0,1,21,459,SPDX
bom,https://github.com/kbob/LED-Cube,2019-03-17T12:10:36Z,,91,12,51,10,19,27,69,2,126,456,SPDX
bom,https://github.com/kdoctor-io/kdoctor,2023-06-05T03:59:18Z,,130,16,25,193,18,4,85,6,216,445,CycloneDX
sbom-tool,https://github.com/kkzzhizhou/scoop-apps,2019-12-05T06:03:55Z,,121,5,128,5,12,16,10,12,298,429,SPDX
ko-build/ko,https://github.com/knative-extensions/eventing-rabbitmq,2020-05-07T21:25:50Z,,29,4,55,12,7,48,40,15,763,414,CycloneDX
cyclonedx-cli,https://github.com/ko-build/ko,2019-03-21T19:24:01Z,,109,3,24,122,7,0,20,0,209,413,CycloneDX
ko-build/ko,https://github.com/ko-build/setup-ko,2021-04-27T13:40:52Z,,122,41,114,15,58,9,48,9,165,406,CycloneDX
ko-build/ko,https://github.com/ko-build/terraform-provider-ko,2022-06-24T17:35:35Z,,18,5,5,2,5,1,9,0,287,404,CycloneDX
sbom-tool,https://github.com/kolaczyn/typescript-template,2022-08-27T08:24:40Z,,18,4,4,9,3,1,1,4,166,401,CycloneDX
cyclonedx-go,https://github.com/ksoclabs/kbom,2023-04-24T12:10:52Z,,14,5,6,8,3,34,31,3,75,397,CycloneDX
tools-java,https://github.com/kubernetes-sigs/bom,2021-11-19T13:06:36Z,,366,7,9,,,2,3,0,1,396,CycloneDX
ko-build/ko,https://github.com/kubernetes-sigs/release-utils,2021-03-04T01:01:28Z,,0,2,0,,4,1,0,7,149,393,SPDX
bom,https://github.com/kubernetes-sigs/security-profiles-operator,2020-04-24T09:37:15Z,,205,9,51,44,11,79,48,21,196,392,CycloneDX
ko-build/ko,https://github.com/kubernetes/cloud-provider-gcp,2018-03-21T07:01:09Z,,326,20,103,15,30,117,63,13,112,388,SPDX
bom,https://github.com/kubernetes/community,2016-05-03T03:36:05Z,,33,11,5,,3,1,25,0,3,387,CycloneDX
ko-build/ko,https://github.com/kubernetes/release,2016-03-23T22:11:59Z,,15,7,9,,2,0,0,0,0,386,SPDX
bom,https://github.com/kubernetes/test-infra,2016-04-28T21:05:35Z,,13,2,3,57,2,3,8,10,158,382,SPDX
bom,https://github.com/kubewarden/github-actions,2022-01-20T13:31:23Z,,87,12,6,17,8,0,1,10,102,376,CycloneDX
spdx-sbomgenerator,https://github.com/kubewarden/policy-server,2020-12-15T14:26:03Z,,93,10,4,12,7,0,0,7,101,368,CycloneDX
cyclonedx-gomod,https://github.com/kyverno/policy-reporter-ui,2021-03-13T16:20:46Z,,0,2,3,,12,10,8,3,26,357,SPDX
bom,https://github.com/l2x6/cq-maven-plugin,2020-03-16T20:41:40Z,,21,4,2,4,,1,4,0,0,343,CycloneDX
bom,https://github.com/LArkema/dctransistor-project,2021-10-18T20:45:45Z,,53000,59,283,13,42,61,92,9,381,337,CycloneDX
cyclonedx-python,https://github.com/Lee-W/cookiecutter-python-template,2018-06-12T03:16:39Z,,5,1,2,,4,0,0,15,14,334,SPDX
bom,https://github.com/leoluz/go-experiments,2015-02-23T16:22:40Z,,42,4,19,,10,5,2,3,39,331,CycloneDX
tools-golang,https://github.com/lf-edge/eve,2019-04-19T04:01:17Z,,24000,50,184,,39,22,27,50,416,322,SPDX
spdx-sbomgenerator,https://github.com/lfit/releng-global-jjb,2017-06-27T16:32:33Z,,11000,28,134,61,29,17,99,4,389,322,CycloneDX
ort,https://github.com/linagora/Lincompliance,2022-01-26T15:32:32Z,,24,2,8,7,5,9,12,1,55,321,SPDX
cyclonedx-gomod,https://github.com/lkarlslund/Adalanche,2020-10-07T10:07:22Z,,18,4,0,36,,0,1,0,0,321,SPDX
spdx-sbomgenerator,https://github.com/LLNL/llnl.github.io,2016-01-10T22:04:39Z,,142,8,18,70,4,0,3,16,262,308,CycloneDX
tools-python,https://github.com/LLNL/Surfactant,2023-06-27T18:03:31Z,,890,152,284,13,6,7,22,0,48,307,CycloneDX
cyclonedx-php-composer,https://github.com/lockys/Awesome.json,2015-10-05T16:11:59Z,,71,5,15,1,11,20,22,2,67,304,CycloneDX
ort,https://github.com/LoremLabs/kudos-for-code-action,2023-03-14T14:20:52Z,,24,10,12,18,19,6,24,2,225,301,CycloneDX
cyclonedx-python,https://github.com/luismayta/dotfiles,2014-11-17T11:24:08Z,,4,1,2,,,0,0,0,0,300,SPDX
ko-build/ko,https://github.com/lzwme/scoop-proxy-cn,2023-02-21T09:02:29Z,,4,4,4,,3,1,4,1,41,286,SPDX
bom,https://github.com/MadhavJivrajani/owners-counts,2023-03-20T16:23:57Z,,65,1,1,,2,0,28,0,0,283,CycloneDX
cyclonedx-python,https://github.com/madpah/vexy,2022-07-04T14:37:59Z,,36,10,10,9,11,2,75,0,80,283,SPDX
spdx-sbomgenerator,https://github.com/MaibornWolff/OSSLR,2021-08-24T09:45:38Z,,12000,54,167,10,17,25,79,4,241,277,CycloneDX
build-info-go,https://github.com/mattn/vim-lsp-settings,2019-12-14T11:58:55Z,,46,5,26,,21,5,22,2,33,276,CycloneDX
ort,https://github.com/maxhbr/benchmark,2017-05-20T15:42:08Z,,87,7,13,6,11,81,65,17,314,271,CycloneDX
ort,https://github.com/maxhbr/myconfig,2012-12-04T18:26:32Z,,425,8,33,54,22,10,65,1,238,271,CycloneDX
tools-golang,https://github.com/mchmarny/disco,2022-12-23T13:18:03Z,,35,6,13,20,8,6,44,0,54,270,CycloneDX
cyclonedx-node-npm,https://github.com/medplum/medplum,2021-04-21T16:36:22Z,,14,11,16,32,14,3,34,9,276,268,CycloneDX
cyclonedx-gradle-plugin,https://github.com/mercedes-benz/sechub,2019-07-22T14:20:50Z,,435,12,68,74,8,36,45,1,46,263,SPDX
sbom-tool,https://github.com/MHarmony/mharmony.io,2022-10-24T19:49:38Z,,20,6,12,24,11,15,234,5,153,261,CycloneDX
bom,https://github.com/Micronaet/micronaet-sql,2015-02-18T08:13:23Z,,81,4,41,,29,12,12,11,294,257,SPDX
sbom-tool,https://github.com/microsoft/promptflow,2023-06-30T06:03:06Z,,40,5,7,6,3,13,14,0,32,251,CycloneDX
sbom-tool,https://github.com/microsoft/winget-pkgs,2019-07-16T22:21:48Z,,87,3,5,21,5,17,49,2,114,249,CycloneDX
bom,https://github.com/midokura/gha-devops,2022-04-12T08:38:19Z,,17,7,17,19,12,11,78,1,112,247,SPDX
bom,https://github.com/mil-oss/spdx-xsd,2018-05-30T03:35:15Z,,6,10,11,71,6,3,298,3,298,242,SPDX
cyclonedx-maven-plugin,https://github.com/Mixeway/MixewayScanner,2020-08-18T11:13:35Z,,1,1,13,,2,0,0,55,22,240,SPDX
cyclonedx-cli,https://github.com/mlieberman85/supply-chain-examples,2021-08-28T19:07:59Z,,50,8,33,47,14,18,3,5,170,232,CycloneDX
sbom-tool,https://github.com/mluker/artifact-signing,2022-11-17T19:47:55Z,,97,7,52,33,14,25,120,0,104,232,CycloneDX
sbom-tool,https://github.com/mluker/secure-supply-chain,2023-02-24T16:29:47Z,,59,7,11,12,5,4,8,12,354,231,CycloneDX
tools-golang,https://github.com/mmogylenko/rules_deb_packages,2023-06-09T20:44:51Z,,19,11,21,17,11,1,4,1,80,229,CycloneDX
cyclonedx-node-npm,https://github.com/MO-Movia/licit,2020-09-19T22:57:43Z,,144,14,78,97,18,1,113,5,121,226,CycloneDX
tools-golang,https://github.com/moby/buildkit,2017-05-31T17:04:10Z,,15,7,16,9,11,0,6,0,87,224,CycloneDX
spdx-maven-plugin,https://github.com/moleske/geode-protobuf,2021-05-05T22:59:53Z,,210,5,10,22,11,57,66,1,236,223,CycloneDX
cyclonedx-gomod,https://github.com/mostafa/xk6-kafka,2020-05-09T13:13:04Z,,49,7,15,11,9,6,12,6,99,223,CycloneDX
ort,https://github.com/mpromonet/v4l2rtspserver,2013-11-09T23:08:44Z,,31,5,21,14,15,7,33,0,90,223,SPDX
build-info-go,https://github.com/mrtazz/dotfiles,2012-08-25T22:52:09Z,,13,7,7,,6,3,2,0,63,222,SPDX
bom,https://github.com/MrWenBo/mescep,2017-05-19T14:29:48Z,,4,2,3,3,4,6,3,0,43,222,SPDX
bom,https://github.com/mybeam/Apache-Beam-,2019-05-31T12:05:55Z,,21,3,16,32,5,1,15,0,10,218,CycloneDX
cyclonedx-python,https://github.com/NC3-LU/Fit4Cybersecurity,2019-07-09T07:40:36Z,,47,2,17,,13,7,54,5,325,216,CycloneDX
cyclonedx-python,https://github.com/NC3-LU/MOSP,2018-03-28T22:05:03Z,,106,15,69,,5,0,1,3,40,215,CycloneDX
build-info-go,https://github.com/neoclide/coc-json,2018-09-07T08:04:25Z,,479,36,165,,22,40,92,19,27,215,CycloneDX
sbom-tool,https://github.com/NervJS/taro,2018-04-08T09:32:26Z,,43,6,31,16,11,10,50,2,62,215,SPDX
cyclonedx-python-lib,https://github.com/NetBSD/pkgsrc,2017-04-16T20:04:15Z,,74,4,1,11,3,3,37,4,82,210,CycloneDX
tools-python,https://github.com/nexB/python-inspector,2022-05-12T19:42:57Z,,6,5,3,,4,3,1,3,15,208,SPDX
tools-python,https://github.com/nexB/scancode-toolkit,2015-07-01T13:43:06Z,,79,18,25,6,16,15,28,1,109,206,SPDX
bom,https://github.com/nexB/scancode.io,2020-09-10T15:06:52Z,,1,7,1,,5,12,0,2,4,201,SPDX
sbom-cli,https://github.com/nicholasdille/container-slides,2019-11-17T12:38:41Z,,0,3,0,,2,0,0,3,19,200,SPDX
cyclonedx-cli,https://github.com/nicholasdille/docker-setup,2021-10-19T07:27:01Z,,87,3,13,12,7,22,19,8,70,195,CycloneDX
bom,https://github.com/nix-community/nur-combined,2018-08-04T16:29:54Z,,23,2,11,18,7,8,4,1,89,193,CycloneDX
cyclonedx-python,https://github.com/nix-community/poetry2nix,2019-06-17T15:26:38Z,,4,8,7,18,10,2,9,0,79,192,SPDX
cyclonedx-python-lib,https://github.com/NixOS/nixpkgs,2012-06-04T02:49:46Z,,26,9,8,9,10,7,27,2,34,192,CycloneDX
spdx-maven-plugin,https://github.com/NodeSecure/licenses-conformance,2021-08-30T20:47:45Z,,66,17,117,,42,0,4,0,75,189,SPDX
cyclonedx-node-npm,https://github.com/nodeshift/faas-js-runtime,2019-10-16T03:01:12Z,,61,10,19,16,18,3,60,6,157,188,CycloneDX
sbom-cli-plugin,https://github.com/noironetworks/aci-containers,2016-09-01T20:40:29Z,,13,1,1,4,2,1,6,5,84,186,CycloneDX
cyclonedx-gomod,https://github.com/nscuro/dtapac,2022-04-15T15:56:50Z,,67,4,9,1,6,2,5,0,29,183,CycloneDX
cyclonedx-gomod,https://github.com/nscuro/traefik-plugin-geoblock,2021-10-04T18:44:51Z,,22,4,8,,8,0,2,9,76,178,CycloneDX
bom,https://github.com/numaproj/numaflow,2022-05-20T22:05:07Z,,0,3,0,,,0,0,0,0,176,SPDX
tools-golang,https://github.com/nydusaccelerator/buildkit,2023-01-05T03:50:05Z,,54,4,7,,5,7,4,4,28,176,CycloneDX
bom,https://github.com/oasis-open/openc2-jadn-software,2017-08-28T18:45:52Z,,3,7,0,2,4,19,11,1,72,175,SPDX
sbom-tool,https://github.com/octodemo/sbom-dependency-submission,2022-10-03T22:33:03Z,,133,0,11,3,6,16,41,14,158,173,SPDX
cyclonedx-go,https://github.com/ocurity/dracon,2023-02-13T17:16:44Z,,148,18,18,20,3,1,19,1,19,169,CycloneDX
ko-build/ko,https://github.com/okibcn/ScoopMaster,2023-02-05T02:02:41Z,,54,6,12,60,14,6,31,1,124,169,CycloneDX
sbom-tool,https://github.com/OKiMaureen/test,2019-03-21T13:39:25Z,,216,4,9,36,7,8,13,2,160,168,CycloneDX
cyclonedx-python-lib,https://github.com/on-nix/pkgs,2021-10-18T06:23:33Z,,22,35,42,5,27,2,7,0,66,165,CycloneDX
cyclonedx-gomod,https://github.com/open-feature/flagd,2022-05-26T12:05:42Z,,26,3,16,,,0,0,0,0,164,CycloneDX
cyclonedx-gomod,https://github.com/open-feature/go-sdk,2022-04-28T21:00:52Z,,24,1,3,20,4,3,15,3,48,160,CycloneDX
cyclonedx-go,https://github.com/open-policy-agent/conftest,2019-03-28T17:12:29Z,,87,22,39,14,14,0,0,2,161,159,CycloneDX
tools-java,https://github.com/Open-Source-Compliance/package-analysis,2022-03-02T09:01:20Z,,0,6,0,3,4,0,0,0,8,157,SPDX
cyclonedx-gomod,https://github.com/openclarity/kubeclarity,2020-03-22T12:52:29Z,,4,7,6,,8,1,81,0,73,156,SPDX
cyclonedx-go,https://github.com/openclarity/vmclarity,2022-11-04T16:06:44Z,,37,8,9,4,8,6,22,0,16,153,SPDX
sbom-cli,https://github.com/opendevstack/ods-jenkins-shared-library,2018-07-27T11:44:32Z,,15,18,0,5,2,7,12,7,78,150,CycloneDX
tools-golang,https://github.com/opensbom-generator/sbom-composer,2023-03-17T14:16:51Z,,7,3,1,,,0,0,0,0,148,SPDX
tools-golang,https://github.com/opensbom-generator/spdx-sbom-generator,2021-05-19T19:35:04Z,,2,3,2,16,2,2,12,1,36,148,SPDX
cyclonedx-cli,https://github.com/opensourceways/sbom-tools,2022-08-05T03:45:05Z,,191,7,11,9,7,2,1,4,78,147,CycloneDX
spdx-maven-plugin,https://github.com/OpenTOSCA/license-engine,2020-11-20T15:21:48Z,,17,4,4,14,4,7,5,7,107,146,CycloneDX
ort,https://github.com/opfab/operatorfabric-core,2018-09-27T09:36:25Z,,0,2,0,,4,0,0,0,0,144,SPDX
sbom-cli-plugin,https://github.com/opnfv/releng,2016-11-03T17:45:08Z,,8,9,12,,6,1,0,0,35,139,SPDX
cyclonedx-python-lib,https://github.com/opnsense/ports,2014-12-13T15:19:32Z,,14,24,18,,14,1,61,1,36,138,CycloneDX
tools-java,https://github.com/opossum-tool/examples,2021-09-20T06:27:47Z,,4,3,5,15,3,4,20,1,36,137,SPDX
tools-python,https://github.com/opossum-tool/opossum.lib.py,2023-03-06T12:34:09Z,,25,17,9,13,11,4,9,2,156,133,SPDX
spdx-maven-plugin,https://github.com/opossum-tool/OpossumUI,2021-09-21T14:45:15Z,,0,2,0,,,0,0,0,0,132,SPDX
cyclonedx-python,https://github.com/oracle/dbt-oracle,2022-04-11T07:06:04Z,,0,2,7,,6,14,24,1,54,130,SPDX
cyclonedx-cli,https://github.com/oracle/hiq,2022-03-04T08:59:02Z,,0,8,1,,4,16,11,0,30,130,SPDX
cyclonedx-maven-plugin,https://github.com/oracle/macaron,2022-12-05T07:16:28Z,,5,7,0,,2,3,4,0,2,129,SPDX
cyclonedx-maven-plugin,https://github.com/oracle/nosql-java-sdk,2020-09-27T00:05:54Z,,16,3,0,1,3,0,1,0,1,128,CycloneDX
cyclonedx-python,https://github.com/oracle/oci-ansible-collection,2020-04-23T16:48:27Z,,8,2,4,,,0,20,0,10,126,SPDX
cyclonedx-maven-plugin,https://github.com/oracle/oci-java-sdk,2016-12-06T04:05:39Z,,26,5,32,2,10,5,6,7,51,124,CycloneDX
cyclonedx-python,https://github.com/oracle/oci-python-sdk,2016-11-04T04:50:20Z,,222,8,20,,13,1,51,0,21,123,CycloneDX
cyclonedx-gradle-plugin,https://github.com/oracle/okafka,2020-04-24T21:12:09Z,,7,10,3,,2,0,3,0,2,122,SPDX
cyclonedx-maven-plugin,https://github.com/oracle/tribuo,2020-06-16T09:59:48Z,,69,4,6,13,4,3,14,0,8,120,SPDX
ort,https://github.com/orenmazor/eks-workshop,2023-07-07T15:34:56Z,,87,9,14,9,3,2,0,4,109,119,SPDX
dtrack-audit,https://github.com/oss-compass/compass-web,2022-09-29T09:44:01Z,,120,11,49,,5,9,7,1,24,116,CycloneDX
pip-audit,https://github.com/oss-review-toolkit/ort,2017-10-19T11:59:49Z,,179,8,22,7,6,3,20,2,19,116,CycloneDX
build-info-go,https://github.com/ovh/cds,2016-10-11T08:28:23Z,,65,6,23,11,3,8,29,0,31,116,CycloneDX
cyclonedx-gomod,https://github.com/owasp-amass/amass,2018-07-10T16:05:08Z,,74,13,12,7,6,11,7,2,24,114,CycloneDX
bom,https://github.com/owasp-dep-scan/dep-scan,2020-01-28T20:41:58Z,,3,3,3,4,3,2,6,5,20,111,SPDX
sbom-cli,https://github.com/oxsecurity/megalinter,2020-10-17T08:16:25Z,,2,1,0,,2,0,0,0,0,109,SPDX
cyclonedx-go,https://github.com/paketo-buildpacks/packit,2019-10-10T19:20:22Z,,57,6,15,4,3,0,1,0,1,109,CycloneDX
gh-dotnet-generate-sbom,https://github.com/paralax/ObsidianSailboat,2019-02-27T01:34:33Z,,2,2,2,,4,4,2,6,48,109,SPDX
cyclonedx-dotnet-library,https://github.com/patriksvensson/covenant,2022-10-09T21:53:47Z,,18,10,10,,9,11,10,4,45,108,CycloneDX
cyclonedx-python-lib,https://github.com/pentagridsec/smsgate,2022-11-16T11:16:45Z,,46,2,12,,9,12,13,1,59,108,SPDX
spdx-maven-plugin,https://github.com/pezra/pretty-printer,2011-03-30T15:21:38Z,,0,1,0,,11,0,0,0,0,105,SPDX
cyclonedx-python-lib,https://github.com/pfsense/FreeBSD-ports,2015-08-20T20:02:11Z,,2,1,0,,3,0,0,33,23,103,SPDX
cyclonedx-python,https://github.com/pgjones/tozo,2022-07-22T09:20:17Z,,15,4,3,15,3,0,7,0,42,101,CycloneDX
sbom-tool,https://github.com/philips-software/post-to-medium-action,2021-10-27T07:49:02Z,,4,7,5,,7,9,4,2,30,99,SPDX
ort,https://github.com/philips-software/spdx-builder,2020-07-16T06:14:32Z,,18,5,15,,7,6,7,0,19,98,CycloneDX
bom,https://github.com/philipwig/ledcube,2021-08-11T16:14:53Z,,0,1,0,,,0,0,0,0,97,SPDX
cyclonedx-node-npm,https://github.com/phylum-dev/cli,2021-03-19T14:21:50Z,,1,2,0,,,0,0,0,0,95,SPDX
cyclonedx-python,https://github.com/planetmint/planetmint,2022-01-11T19:19:59Z,,1,3,15,2,8,2,1,1,15,94,SPDX
cyclonedx-python,https://github.com/planetmint/planetmint-driver-python,2022-01-24T08:13:21Z,,4,3,0,,3,0,0,0,43,90,SPDX
cyclonedx-maven-plugin,https://github.com/pmckeown/dependency-track-maven-plugin,2019-06-29T22:02:31Z,,4,1,12,,5,0,0,2,4,88,SPDX
bom,https://github.com/pombredanne/gitlab.com-hoppr-hoppr-cyclonedx-models,2023-01-19T18:45:33Z,,14,7,7,6,9,1,44,3,43,85,CycloneDX
ort,https://github.com/porscheofficial/.github,2021-09-21T12:57:50Z,,8,3,7,6,3,4,16,0,17,84,SPDX
ort,https://github.com/porscheofficial/cookie-consent-banner,2021-09-14T14:12:42Z,,92,11,41,,9,9,23,0,38,81,SPDX
ort,https://github.com/porscheofficial/porscheofficial.github.io,2023-05-10T08:20:43Z,,1,3,2,13,3,1,6,0,19,81,SPDX
ort,https://github.com/privacy-tech-lab/privacy-pioneer-machine-learning,2022-02-05T15:17:30Z,,49,10,2,,,1,0,0,2,80,SPDX
tools-golang,https://github.com/project-stacker/stacker-bom,2023-02-09T19:02:46Z,,0,2,5,6,4,4,15,0,34,79,SPDX
bom,https://github.com/Prow-Cluster-Bot/prow-config,2023-04-07T09:39:23Z,,102,2,3,,5,1,3,0,1,79,CycloneDX
bom,https://github.com/puerco/release-actions,2023-12-02T20:32:00Z,,37,8,11,,4,5,0,10,54,78,SPDX
bom,https://github.com/puerco/supply-chain-demo,2022-03-08T07:37:36Z,,71,0,5,1,,8,5,0,0,76,CycloneDX
tools-golang,https://github.com/purpleidea/yesiscan,2021-05-05T16:08:26Z,,1,0,0,,,0,0,0,0,75,SPDX
cyclonedx-cli,https://github.com/puzzle/cryptopus,2008-07-11T14:40:10Z,,48,1,2,,,1,0,0,3,74,CycloneDX
cyclonedx-cli,https://github.com/puzzle/skills,2018-02-27T16:13:22Z,,20,4,7,5,3,3,11,0,20,74,SPDX
cyclonedx-python-lib,https://github.com/pypa/pip-audit,2021-09-02T15:19:39Z,,11,3,6,5,4,2,23,0,91,73,SPDX
cyclonedx-python-lib,https://github.com/pypi-data/pypi-json-data,2022-07-21T12:56:42Z,,19,3,2,,,0,1,0,6,73,CycloneDX
tools-golang,https://github.com/QMSTR/qmstr,2018-01-19T09:50:33Z,,7,4,1,10,3,7,13,0,13,73,SPDX
cyclonedx-php-composer,https://github.com/Quobis/action-owasp-dependecy-track-check,2021-05-15T17:32:57Z,,12,3,2,5,2,4,5,1,6,71,CycloneDX
bom,https://github.com/rancher/elemental-operator,2022-05-25T10:23:32Z,,0,1,1,,2,0,0,0,0,71,SPDX
build-info-go,https://github.com/remcohaszing/vscode-schemastore,2022-07-30T11:44:17Z,,13,1,9,,2,0,0,0,5,70,CycloneDX
bom,https://github.com/RetireJS/retire.js,2013-08-30T21:43:44Z,,20,5,10,,,0,1,2,0,70,CycloneDX
tools-golang,https://github.com/riehlegroup/product-model-toolkit,2020-02-19T16:15:59Z,,22,5,4,,6,0,0,0,62,69,CycloneDX
cyclonedx-maven-plugin,https://github.com/rmkanda/secure-pipeline-java-demo,2020-05-28T10:31:01Z,,0,0,0,,2,0,2,0,39,68,SPDX
bom,https://github.com/RobertKielty/hook-plugin-docker-action,2022-07-24T19:46:09Z,,10,8,5,,3,0,5,0,3,68,SPDX
bom,https://github.com/robertwb/beam-javascript,2022-01-04T00:51:30Z,,111,5,10,,,1,3,0,0,67,CycloneDX
sbom-tool,https://github.com/rod4n4m1/hashi-vault-js,2020-07-01T17:56:03Z,,4,3,3,4,6,0,1,0,13,64,SPDX
bom,https://github.com/rohankumardubey/beam,2021-09-21T06:14:15Z,,36,7,6,,2,3,0,0,4,64,CycloneDX
cyclonedx-go,https://github.com/safedep/vet,2022-12-30T03:39:03Z,,14,7,3,,3,7,0,0,4,63,CycloneDX
